char,pron
黃芽白,vong2 nga2 pak6
矮瓜,ai3 ga1
絲瓜,se1 ga1
金瓜,gim1 ga1
冬瓜,dung1 ga1
黃瓜,vong2 ga1
番茄,fan1 kio2
蘿蔔,lo2 pet6
紅蘿蔔,fung2 lo2 pet6
辣椒,lat6 ziau1
蕹菜,vung4 coi4
韭菜,giu3 coi4
莧菜,han4 coi4
芥菜,gai4 coi4
芹菜,kiun2 coi4
芫荽,yen2 sui1
脈菜,mak5 coi4
潺菜,can2 coi4
牙姑,nga2 gu1
蓮藕,lien2 leu1
馬蹄,ma1 tai2
菱角,lin2 gok5
蔥仔,cung1 zai3
蒜仔,son4 zai3
蒜苗,son4 miau2
蒜頭,son4 teu2
蕎頭,kiau1 teu2
薑嫲,giong1 ma2
菜心,coi4 sim1
菜根,coi4 gin1
菜秧,coi4 yong1
薸仔,piau2 zai3
生果,sang1 go3
桃仔,tau2 zai3
李仔,li3 zai3
腍柿,lem2 se2
石榴,sak6 liu2
橘仔,git5 zai3
柑仔,gam1 zai3
橙仔,zang2 zai3
碌仔,luk5 zai3
梅仔,moi2 zai3
葡萄子,pu2 tau2 zu3
櫻桃,yin1 tau2
紅棗,fung2 zau3
合桃,hap6 tau2
山渣,san1 za1
牙蕉,nga2 ziau1
荔果,lai1 go3
龍眼,lung2 ngan3
西瓜,si1 ga1
梅花,moi2 fa1
杏花,hen4 fa1
桃花,tau2 fa1
蓮花,lien2 fa1
桂花,gui4 fa1
杜鵑花,tu4 gien1 fa1
蘭花,lan2 fa1
雞蛋花,gai1 tan4 fa1
茉莉花,mat6 li4 fa1
白玉蘭,pak6 ngiuk6 lan2
手巾絮,siu3 gin1 sui1
菊花,kiuk5 fa1
向日葵,hiong4 ngit5 kui2
槐樹,fai2 su4
楓樹,fung1 su4
苦楝樹,fu3 lien4 su4
千重皮,cien1 cung2 pi2
柳樹,liu3 su4
桑仔樹,song1 zai3 su4
桑仔,song1 zai3
榕樹,yung2 su4
烏桕樹,vu1 kiu1 su4
白果樹,pak6 go3 su4
梧桐樹,ng2 tung2 su4
茶樹,ca2 su4
油茶樹,yiu2 ca2 su4
棕櫚樹,zung1 li1 su4
樟樹,zong1 su4
車桐竹,ca1 tung2 zuk5
竹根,zuk5 gin1
竹衣,zuk5 yi1
竹筍,zuk5 sun3
書友草,su1 yiu1 cau3
榔箕,long1 gi1
溜苔,liu1 toi2
蘆茅,lu2 mau2
樹桍,su4 ka1
樹尾,su4 mui1
樹頭,su4 teu2
樹葉,su4 yap6
裹粽葉,go3 zung4 yap6
杉樹,cam4 su4
柏樹,pak5 su4
松樹,cung2 su4
松雞角,cung2 gai1 gok5
松毛,cung2 mau1
松光仁,cung2 gong1 yin2
樹膠,su4 gau1
木頭,muk5 teu2
頭牲,teu2 sang1
水牛,sui3 ngiu2
黃牛,vong2 ngiu2
牛牯,ngiu2 gu1
牛嫲,ngiu2 ma2
牛仔,ngiu2 zai3
牛角,ngiu2 gok5
羊牯,yong2 gu3
羊嫲,yong2 ma2
豬牯,zu1 gu3
豬家,zu1 ga1
豬嫲,zu1 ma2
肉豬,ngiuk5 zu1
豬仔,zu1 zai3
養豬仔,yong1 zu1 zai3
走水,zeu3 sui3
狗牯,geu3 gu3
狗嫲,geu3 ma2
貓牯,miau4 gu3
貓嫲,miau4 ma2
貓起群,miau4 hi3 kiun2
雞公,gai1 gung1
雞嫲,gai1 ma2
閹雞,yam1 gai1
雞仔,gai1 zai3
賴伏雞嫲,lai4 pu4 gai1 ma2
雞春,gai1 cun1
雞胗,gai1 kin1
生春,sang1 cun1
打踏,da3 tap6
野性,ya1 sin4
老虎,lau4 fu3
獅子,su1 zu3
狐狸,fu2 li2
猴哥,heu2 go1
馬騮,ma1 liu1
兔仔,tu4 zai3
老鼠,lau4 cu3
鳥仔,diau1 zai3
禾鷝子,vo2 bit5 zai3
鴉鵲,a1 siak5
老鴉,lau3 a1
雁鵝,ngan4 ngo2
鷂婆,yau4 po2
牙鷹,nga2 yin1
貓頭鳥,miau4 teu2 diau1
燕仔,yen4 zai3
蝠婆,pit6 po2
蚊鼠,mun1 cu3
月鴿,ngiet6 gap5
白鴿,pak6 gap5
鷯哥,liau4 go1
腳爪,giok5 zau3
蝲蜞,la2 kia2
蟲蚿,cung2 hien3
蜈蚣蟲,ng2 gung1 cung2
硬殼蟲,ngang4 hok5 cung2
壁蛇,biak5 sa2
鳥蠅,vu1 yin2
牛鳥蠅,ngiu2 vu1 yin2
齧仔,ngat5 zai3
乾蜱,gon1 bi1
狗虱,geu3 sit5
虱嫲,sit5 ma2
黃曱,vong2 cat6
黃蜊,vong2 li1
知焱,zi1 yam4
蝴蝶,fu2 tiap5
豹虎哥,bau4 fu3 go1
蜢公,mang3 gung1
火焰蟲,fo3 yam4 cung2
蜜仔,mit6 zai3
禾蜂,vo2 fung1
草織,cau3 git5
鯰哥仔,ngiam4 go1 zai3
蛤蟆,ha2 ma2
蟾蜍,kiem2 su2
蠶蟲,cam2 cung2
烏龜,vu1 gui1
腳魚,giok5 ng2
蝦公,ha2 gung1
湖鰍,fu2 ciu1
蛇哥,sa2 go1
湖蜞,fu2 ki2
吔螺蟲,ye2 lo2 cung2
冷蜞,lang1 ki2
老蟹,lau4 hai3
石螺,sak6 lo2
田螺,tien2 lo2
黃鱔,vong2 sien1
鯉嫲,li1 ma2
鯽魚,zit5 ng2
屋下,vuk5 ka1
挑地腳,tiau1 ti4 giok5
舂籬,zung1 li2
磚碌,zon1 luk5
泥磚,lai2 zon1
上樑,song3 liong2
屋簷,vuk5 yam2
柱躉,cu1 dun3
間肚,gan1 du3
正廳,zin4 tiang1
偏廳,pien1 tiang1
天井,tien1 ziang3
壁頭,biak5 teu2
窗門,cung1 mun2
側門,zet5 mun2
門檻,mun2 kiam1
天棚,tien1 pang2
欄河,lan2 ho2
石級,sak6 gap5
樓梯,leu2 toi1
陡梯,deu3 toi1
灶下,zau4 ha1
廚房,cu2 fong2
煙囪銜,yen1 cung1 ham2
打灶頭,da3 zau4 teu2
屎坑,si3 hang1
廁所,ci4 so3
角落頭,gok5 lok6 teu2
窿空,lung2 kung1
雞竇,gai1 deu4
雞籠,gai1 lung1
雞塒,gai1 zi4
豬欄,zu1 lan2
牛欄,ngiu2 lan2
傢俬,ga1 su1
桌頭,zok5 teu2
交椅,gau4 yi3
條凳,ban3 den4
書桌,su1 zok5
拖箱,to1 siong1
眠床,min2 cong2
竹席,zuk5 ciak6
草席,zau3 ciak6
枕頭,zim3 teu2
冷線,lang1 sien1
蚊帳,min1 zong4
窗簾,cung1 liam2
面盆,mien4 pun2
手巾,siu3 gin1
番鹼,fan1 gan3
梳仔,so1 zai3
