char,pron
咩人,me1 ngin2
無從,vu2 cung2
最緊要,zui4 gin3 yau4
烈士,liet6 su4
促使,cuk5 si3
難關,lan2 gan1
錯失,co4 sit5
名古屋,min2 gu3 vuk5
好靚,hau3 liang4
繁忙時間,fan2 mong2 si2 gan4
素食,su4 sit6
要比,yau4 bi3
缺少,kiet5 sau3
國際學校,get5 zi4 hok6 gau3
屬實,suk6 sit6
推倒,tui1 dau3
講下,gong3 ha4
旁聽,pong2 tin4
轉車,zon4 ca1
鑽石山,zon4 sak6 san1
流量,liu2 liong4
轉數,zon4 su4
名家,min2 ga1
聽眾,tin4 zung4
管理處,gon3 li1 cu4
行經,hang2 gin1
都已經,du1 yi3 gin1
天上,tien1 song4
平行,pin2 hang2
粗暴,cu1 pau4
瘋傳,fung1 con2
上蓋,song4 goi4
散水,san4 sui3
推論,tui1 lun4
就唔好,ciu4 m1 hau3
哪個,lai4 go4
大仔,tai4 zai3
康樂,kong1 lok6
當你,dong1 li3
兄弟姊妹,hiung1 ti4 zi3 moi4
要打,yau4 da3
見解,gien4 gai3
少人,sau3 ngin2
真話,zin1 va4
兩次,liong1 cu4
上報,song4 bau4
供稱,giung1 cin1
冇心,mau2 sim1
為食,vui4 sit6
正評,zin4 pin2
要你,yau4 li3
玩意,van4 yi4
近視,kiun4 si4
正中,zin4 zung1
轉讓,zon3 ngiong4
之嘛,zu1 ma1
背面,boi4 mien4
遠處,yen3 cu4
好看,hau3 kon4
磨擦,mo2 cat5
主將,zu3 ziong4
為乜,vui4 mak5
爭冠,zang1 gon4
湊仔,ceu4 zai3
接着,ziap5 cok6
近代,kiun4 toi4
名店,min2 diam4
行情,hong2 cin2
錯字,co4 su4
驚嚇,gin1 hak5
堂食,tong2 sit6
馬車,ma1 ca1
攻打,gung1 da3
三甲,sam1 gap5
好受,hau3 siu4
冇問題,mau2 mun4 ti2
放映,fong4 yang3
堵塞,du3 set5
須要,si1 yau4
飲食業,yim3 sit6 ngiap6
一名,yit5 min2
玩笑,van2 siau4
打底,da3 dai3
負荷,fu4 ho4
逼近,bit5 kiun4
轉移視線,zon3 yi2 si4 sien4
真係冇,zin1 he4 mau2
正職,zin4 zit5
奪命,tot6 min4
軌道,gui3 tau4
幻覺,fam4 gok5
唔需要,m1 si1 yau4
上流,song4 liu2
暫定,ciam4 tin4
相見,siong1 gien4
行埋,hang2 mai2
首長,siu3 zong3
中止,zung1 zi3
好唔好,hau3 m1 hau3
華府,fa2 fu3
應否,yin1 feu3
卡路里,ka1 lu4 li1
三號,sam1 hau4
為意,vui2 yi4
日本仔,ngit5 bun3 zai3
錯覺,co4 gok5
服從,fuk6 cung2
處事,cu3 su4
失調,sit5 tiau2
倒塌,dau3 tap5
過山車,go4 san1 ca1
三角形,sam1 gok5 hin2
新會,sin1 fui4
觀音,gon1 yim1
過分,go4 fun4
差餉,cai1 hiong3
好驚,hau3 giang1
排行,pai2 hang2
火車頭,fo3 ca1 teu2
濃度,ngiung2 tu4
些少,sia1 sau3
晚宴,man1 yen4
要等,yau4 den3
連番,lien2 fan1
年少,ngien2 sau4
長褲,cong2 fu4
傳言,con2 ngien2
雷射,lui2 sa4
相熟,siong1 suk6
應該要,yin1 goi1 yau4
想當年,siong3 dong1 ngien2
散貨,san3 fo4
恰當,kap5 dong4
預定,yi4 tin4
暴龍,pau4 lung2
旋轉,sien2 zon3
地舖,ti4 pu4
就好似,ciu4 hau3 su4
我已經,ngo1 yi3 gin1
當眾,dong1 zung4
射中,sa4 zung4
少林,sau4 lim2
正所謂,zin4 so3 vui4
有為,yiu1 vui2
點呀,diam3 a2
追平,zui1 pin2
荷爾蒙,ho4 li3 mung2
唔打,m1 da3
做好,zo4 hau3
食環,sit6 van2
強項,kiong2 hong4
物種,vut6 zung3
化名,fa4 miang2
打斷,da3 ton1
食譜,sit6 pu3
時差,si2 ca1
唔差,m1 ca1
咩問題,me1 mun4 ti2
被人,pi4 ngin2
賽道,soi4 tau4
車速,ca1 suk5
定必,tin4 bit5
跟着,gen1 cok6
上個,song4 go4
正一,zin4 yit5
成因,sin2 yin1
好似唔,hau3 su4 m1
擔正,dam1 zang4
有着,yiu1 cok6
必勝,bit5 sin4
過量,go4 liong4
處罰,cu3 fat6
相互,siong1 fu4
轉載,zon3 zoi4
長年,cong2 ngien2
啱啱好,ngam1 ngam1 hau3
都應該,du1 yin1 goi1
有興趣,yiu1 hin1 ci4
覺得係,gok5 det5 he4
陰道,yim1 tau4
樂天,lok6 tien1
成分,sin2 fun4
跟車,gen1 ca1
靈堂,lin2 tong2
上訴庭,song4 su4 tin2
解圍,gai3 vui2
嚴正,ngiam2 zin4
振興,zin3 hin1
違背,vui2 boi4
惡行,ok5 hang2
好講,hau3 gong3
代為,toi4 vui2
軟禁,ngion1 gim4
瓦解,nga3 gai3
明點解,min2 diam3 gai3
供電,giung1 tien4
靜坐,cin4 co4
打你,da3 li3
後輩,heu4 bui4
要不是,yau4 but5 si4
當打,dong1 da3
中部,zung1 pu4
只可以,zit5 ko3 yi1
投射,teu2 sa4
實屬,sit6 suk6
應該有,yin1 goi1 yiu1
險勝,hiam3 sin4
罪惡,cui4 ok5
好多都,hau3 do1 du1
拼音,pin4 yim1
上揚,song4 yong2
管道,gon3 tau4
兩邊,liong1 bien1
頂尖,din3 ziam1
中外,zung1 ngoi4
界定,gai4 tin4
肉食,ngiuk5 sit6
好學,hau4 hok6
要緊,yau4 gin3
生平,sang1 pin2
化為,fa4 vui2
好吃,hau3 ket5
保命,bau3 miang4
倒轉,dau4 zon4
爭勝,zang1 sin4
以為自己,yi1 vui2 cu4 gi3
撐起,cang4 hi3
傻仔,so2 zai3
最重,zui4 cung1
接載,ziap5 zoi4
荷包,ho2 bau1
新仔,sin1 zai3
當正,dong1 zang4
行蹤,hang2 zung1
中等,zung1 den3
安定,on1 tin4
長揸,cong2 za1
專屬,zon1 suk6
應急,yin4 gip5
震盪,zin3 tong4
磨合,mo2 hap6
經濟體,gin1 zi4 ti3
鬥士,deu4 su4
強權,kiong2 kien2
中游,zung1 yiu2
土生土長,tu3 sang1 tu3 zong3
報讀,bau4 tuk6
經由,gin1 yiu2
核實,het6 sit6
要買,yau4 mai1
傳人,con2 ngin2
文青,vun2 ciang1
全名,cien2 miang2
中秋節,zung1 ciu1 ziet5
誤以為,ngu4 yi1 vui2
黑名單,het5 min2 dan1
手掣,siu3 zi4
地中海,ti4 zung1 hoi3
傳召,con2 cau4
當街,dong1 gai1
打起,da3 hi3
後勤,heu4 kiun2
打通,da3 tung1
玩弄,van4 lung4
爭相,zang1 siong1
處男,cu3 lam2
熱量,ngiet6 liong4
因為你,yin1 vui4 li3
重災區,cung1 zai1 ki1
泛民主派,fam4 min2 zu3 pai4
國度,get5 tu4
霸道,ba4 tau4
親近,cin1 kiun4
名譽,min2 yi4
相愛,siong1 oi4
感興趣,gam3 hin1 ci4
中間人,zung1 gan1 ngin2
鋪排,pu1 pai2
極具,kit6 ki3
仲以為,cung4 yi1 vui2
難食,lan2 sit6
轉台,zon4 toi2
放蛇,fong4 sa2
架車,ga4 ca1
禁忌,gim4 ki4
強攻,kiong2 gung1
應酬,yin4 ciu2
解畫,gai3 fa4
聽取,tang4 ci3
用咩,yung4 me1
驚險,gin1 hiam3
略為,liok6 vui2
晚間,man1 gan1
制定,zi4 tin4
都好似,du1 hau3 su4
條仔,tiau2 zai3
最重要,zui4 cung1 yau4
好景,hau3 gin3
小量,siau3 liong4
食雞,sit6 gai1
斷正,ton1 zang4
解禁,gai3 gim4
我呢,ngo1 le1
我打,ngo1 da3
要佢,yau4 gi2
極其,kit6 ki2
中同,zung1 tung2
抵食,dai3 sit6
只差,zit5 ca1
倒台,dau3 toi2
推到,tui1 dau4
着重,cok6 cung4
仲要係,cung4 yau4 he4
觸覺,cuk5 gok5
執着,zip5 cok6
一定有,yit5 tin4 yiu1
撈底,leu2 dai3
反射,fan3 sa4
處決,cu3 giet5
解體,gai3 ti3
當代,dong1 toi4
轉職,zon4 zit5
例行,li4 hang2
紳士,sin1 si3
唔一定,m1 yit5 tin4
要我,yau4 ngo1
長出,zong3 cut5
通行,tung1 hang2
無間,vu2 gan4
平常心,pin2 song2 sim1
鮮花,sien1 fa1
出車,cut5 ca1
遊樂,yiu2 lok6
潛伏,ciam2 fuk6
好鍾意,hau3 zung1 yi4
強人,kiong2 ngin2
好嘅,hau3 e4
唔怕,m1 pa4
唔食,m1 sit6
轉交,zon3 gau1
鮮明,sien1 min2
冇可能,mau2 ko3 len2
窗户,cung1 fu4
青島,ciang1 dau3
長傳,cong2 con2
會心,fui4 sim1
係乜,he4 mak5
家暴,ga1 pau4
好明顯,hau3 min2 hien3
種票,zung4 piau4
充分,cung1 fun4
此後,cu3 heu4
食正,sit6 zang4
迴旋處,fui2 sien2 cu3
阻塞,zo3 set5
齊全,ce2 cien2
對打,dui4 da3
難保,lan2 bau3
長跑,cong2 pau1
淡定,tam4 tin4
冇諗,mau2 lem3
食花生,sit6 fa1 sang1
係當,he4 dong1
正名,zin4 min2
我都覺,ngo1 du1 gok5
中菜,zung1 coi4
難講,lan2 gong3
再三,zai4 sam1
你唔好,li3 m1 hau3
成數,sin2 su4
長假,cong2 ga3
水炮車,sui3 pau4 ca1
後記,heu4 gi4
宵禁,siau1 gim4
轉左,zon4 zo3
好高,hau3 gau1
中史,zung1 su3
唔明點解,m1 min2 diam3 gai3
踏實,tap6 sit6
王朝,vong2 cau2
應當,yin1 dong1
道別,tau4 piet6
中暑,zung4 cu3
使乜,su3 mak5
相距,siong1 ki3
釀成,ngiong4 sin2
月經,ngiet6 gin1
皇上,fong2 song4
極品,kit6 pin3
起伏,hi3 fuk6
成全,sin2 cien2
吃喝玩樂,ket5 hot5 van4 lok6
主婦,zu3 fu4
點解我,diam3 gai3 ngo1
村長,cun1 zong3
充當,cung1 dong1
禁藥,gim4 yok6
難以置信,lan2 yi1 zi4 sin4
齊人,ce2 ngin2
大便,tai4 pien4
驚慌,gin1 fong1
獲勝,vet6 sin4
算好,son4 hau3
三十,sam1 sip6
扮靚,pan4 liang4
重型,cung1 hin2
去食,hi4 sit6
太監,tai4 gam4
肉質,ngiuk5 zit5
從業員,cung2 ngiap6 yen2
係好多,he4 hau3 do1
華語,fa2 ngi1
供養,giung1 yong1
州長,ziu1 zong3
傳達,con2 tat6
純屬,sun2 suk6
畫作,fa4 zok5
配樂,pui4 ngok6
強者,kiong2 za3
多士,do1 si3
成績表,sin2 zit5 biau3
暴行,pau4 hang2
年華,ngien2 fa2
中國文化,zung1 get5 vun2 fa4
打尖,da3 ziam1
倡議,cong1 ngi4
宏觀,fen2 gon1
行頭,hong2 teu2
看中,kon4 zung4
養成,yong1 sin2
安樂死,on1 lok6 si3
小強,siau3 kiong2
咩叫,me1 giau4
要講,yau4 gong3
中西區,zung1 si1 ki1
實名,sit6 min2
當紅,dong1 fung2
廣傳,gong3 con2
為時,vui2 si2
參差,cam1 ci1
古惑仔,gu3 fet6 zai3
食過,sit6 go4
連載,lien2 zoi4
講道,gong3 tau4
好正常,hau3 zin4 song2
到頂,dau4 dang3
食評,sit6 pin2
垃圾車,lap5 sap5 ca1
有冇得,yiu1 mau2 det5
華僑,fa2 kiau2
嗜好,si4 hau4
正規,zin4 gui1
到最後,dau4 zui4 heu4
南極,lam2 kit6
唔緊要,m1 gin3 yau4
打埋,da3 mai2
都只係,du1 zit5 he4
呼應,fu1 yin4
轉眼,zon3 ngan3
色調,set5 tiau4
有咩問題,yiu1 me1 mun4 ti2
店長,diam4 zong3
即興,zit5 hin4
坐正,co1 zang4
聞名,vun2 min2
三藩市,sam1 fan2 si1
好慘,hau3 cam3
唔覺得,m1 gok5 det5
畫風,fa4 fung1
背負,boi4 fu4
覺得有,gok5 det5 yiu1
母校,mu1 gau3
名聲,min2 sang1
間公司,gan1 gung1 su1
使得,si3 det5
用量,yung4 liong4
晚年,man1 ngien2
政治正確,zin4 ci4 zin4 kok5
三年,sam1 ngien2
推撞,tui1 cong4
掉轉,tiau4 zon4
平復,pin2 fuk6
正統,zin4 tung3
兩條,liong1 tiau2
聽人講,tang4 ngin2 gong3
要俾,yau4 bi1
將近,ziong1 kiun4
纜車,lam4 ca1
尺度,cak5 tu4
仲有冇,cung4 yiu1 mau2
繪畫,kui4 fa4
後腦,heu4 lau3
食到,sit6 dau4
播映,bo4 yang3
傳銷,con2 siau1
契弟,ke4 ti4
點解你,diam3 gai3 li3
當我,dong1 ngo1
乾脆,gon1 cioi4
更好,gang1 hau3
善長,sen4 zong3
早晚,zau3 man1
似冇,su4 mau2
大食,tai4 sit6
相提並論,siong1 ti2 bin4 lun4
賭仔,du3 zai3
覺悟,gok5 ngu4
冇機,mau2 gi1
追打,zui1 da3
後事,heu4 su4
射出,sa4 cut5
兄長,hiung1 zong3
現成,hien4 sin2
視聽,si4 tin4
會晤,fui4 ngu4
朝聖,cau2 sin4
冇巴打,mau2 ba1 da3
華南,fa2 lam2
譯名,yit6 miang2
踐踏,cien4 tap6
應屆,yin4 gai4
盲撐,mang2 cang4
其中一個,ki2 zung1 yit5 go4
正門,zin4 mun2
當佢,dong1 gi2
有交易,yiu1 gau1 yit6
綠卡,luk6 kat6
有冇巴打,yiu1 mau2 ba1 da3
陶瓷,tau2 cu2
中中,zung1 zung1
佢冇,gi2 mau2
唔驚,m1 giang1
好事,hau3 su4
聯名,lien2 miang2
上游,song4 yiu2
風度,fung1 tu4
無差別,vu2 ca1 piet6
夜間,ya4 gan1
樂富,lok6 fu4
莫名其妙,mok6 min2 ki2 miau4
為數,vui2 su4
覺得你,gok5 det5 li3
剩低,yin4 dai1
乜乜,mak5 mak5
望下,mong4 ha4
白車,pak6 ca1
就已經,ciu4 yi3 gin1
我聽,ngo1 tang4
打橫,da3 vang2
輕度,kiang1 tu4
你冇,li3 mau2
議長,ngi4 zong3
葵青,kui2 ciang1
華文,fa2 vun2
就覺得,ciu4 gok5 det5
知識產權,zi4 sit5 san3 kien2
以為係,yi1 vui2 he4
踏足,tap6 zuk5
係好難,he4 hau3 lan2
驚覺,gin1 gok5
便當,pien4 dong4
好遠,hau3 yen3
臉色,liam3 set5
受驚,siu4 gin1
中級,zung1 kip5
華夏,fa2 ha4
兩個月,liong1 go4 ngiet6
後路,heu4 lu4
一年一度,yit5 ngien2 yit5 tu4
做下,zo4 ha4
薄荷,pok6 ho2
處置,cu3 zi4
坐定定,co1 tin4 tin4
大會堂,tai4 fui4 tong2
判定,pan4 tin4
我以為,ngo1 yi1 vui2
斷線,ton1 sien4
陣間,cin4 gan1
推理,tui1 li1
長裙,cong2 kiun2
打包,da3 bau1
車頂,ca1 dang3
顯示卡,hien3 si4 kat6
隸屬,li4 suk6
最後都,zui4 heu4 du1
幾度,gi1 tu4
樂團,ngok6 ton2
轉個頭,zon3 go4 teu2
食堂,sit6 tong2
諒解,liong4 gai3
推車,tui1 ca1
宴會,yen4 fui4
只怕,zit5 pa4
列強,liet6 kiong2
接聽,ziap5 tang4
都係要,du1 he4 yau4
當兵,dong1 bin1
便服,pien4 fuk6
避難,pi4 lan4
應戰,yin4 zien4
咩呀,me1 a2
保重,bau3 cung4
放行,fong4 hang2
重頭,cung2 teu2
專長,zon1 cong2
冇腦,mau2 lau3
應徵,yin4 zin1
要脅,yau1 hiap5
失靈,sit5 lin2
能成為,len2 sin2 vui2
背影,boi4 yang3
番工,fan1 gung1
調配,tiau4 pui4
定論,tin4 lun4
射精,sa4 zin1
驚恐,gin1 kiung3
哪些,lai4 sia1
食飽,sit6 bau3
比卡超,bi3 ka1 cau1
中文字,zung1 vun2 su4
美觀,mui1 gon1
濕度,sip5 tu4
示好,si4 hau3
音質,yim1 zit5
清淡,cin1 tam4
兩旁,liong1 pong2
調理,tiau2 li1
成品,sin2 pin3
想食,siong3 sit6
後塵,heu4 cin4
外間,ngoi4 gan1
刻薄,ket5 pok6
重手,cung1 siu3
多好,do1 hau3
腰間,yau1 gan1
兩場,liong1 cong2
頂唔順,din3 m1 sun4
應聲,yin4 sang1
叻仔,liak6 zai3
冇諗過,mau2 lem3 go4
你有冇,li3 yiu1 mau2
毒男,tuk6 lam2
打低,da3 dai1
長壽,cong2 siu4
要再,yau4 zai4
平壤,pin2 yong4
問好,mun4 hau3
好多人都,hau3 do1 ngin2 du1
或多或少,fet6 do1 fet6 sau3
宿命,suk5 min4
乜鬼,mak5 gui3
少爺,sau4 ya2
慘重,cam3 cung4
大機會,tai4 gi1 fui4
解凍,gai3 dung4
打人,da3 ngin2
墊底,tiap6 dai3
巴打你,ba1 da3 li3
大少,tai4 sau4
餅乾,biang3 gon1
去旅行,hi4 li3 hang2
我相信,ngo1 siong1 sin4
我當,ngo1 dong4
將至,ziong1 zi4
評核,pin2 het6
佢要,gi2 yau4
校巴,gau3 ba1
附和,fu4 fo4
使費,su3 fui4
順道,sun4 tau4
自強,cu4 kiong2
供求,giung1 kiu2
為香港,vui4 hiong1 gong3
得當,det5 dong4
名言,min2 ngien2
哪怕,lai4 pa4
平庸,pin2 yung2
上圍,song4 vui2
好似都,hau3 su4 du1
中歐,zung1 iu1
淡出,tam4 cut5
翻轉,fan1 zon4
唔好意思,m1 hau3 yi4 su1
客貨車,hak5 fo4 ca1
成隊,sin2 dui4
插畫,cap5 fa4
好得,hau3 det5
兩句,liong1 gi4
散工,san3 gung1
暴走,pau4 zeu3
就應該,ciu4 yin1 goi1
產後,san3 heu4
長時,cong2 si2
稱之為,cin1 zu1 vui2
車公,ca1 gung1
食指,sit6 zi3
財仔,coi2 zai3
鮮味,sien1 mui4
臉書,liam3 su1
旁觀,pong2 gon1
五行,ng3 hang2
上邊,song4 bien1
遵從,zun1 cung2
輾轉,zien3 zon3
轉乘,zon3 sin2
後樓梯,heu4 leu2 toi1
英中,yin1 zung1
倒卧,dau3 ngo4
光明正大,gong1 min2 zin4 tai4
驅使,ki1 si3
想打,siong3 da3
簡易,gan3 yi4
碌卡,luk5 kat6
日更,ngit5 gang1
愛將,oi4 ziong4
好奇心,hau4 ki2 sim1
唔好講,m1 hau3 gong3
調景嶺,tiau2 gin3 liang1
限度,han4 tu4
唔難,m1 lan2
將領,ziong4 liang1
青山公路,ciang1 san1 gung1 lu4
重判,cung1 pan4
冇波,mau2 bo1
趕時間,gon3 si2 gan4
你食,li3 sit6
低質,dai1 zit5
更生,gang1 sang1
打亂,da3 lon4
任食,ngim4 sit6
茄汁,kio2 zip5
要食,yau4 sit6
排長龍,pai2 cong2 lung2
驚醒,gin1 siang3
名師,min2 su1
你諗,li3 lem3
將就,ziong1 ciu4
都好過,du1 hau3 go4
有咩好,yiu1 me1 hau3
決勝,giet5 sin4
首推,siu3 tui1
中華民族,zung1 fa2 min2 cuk6
已經冇,yi3 gin1 mau2
百分比,bak5 fun4 bi3
打殘,da3 can2
好聲,hau3 sang1
班長,ban1 zong3
差館,cai1 gon3
改觀,goi3 gon1
企定定,ki1 tin4 tin4
偏差,pien1 ca1
素質,su4 zit5
喇沙,la2 sa1
退後,tui4 heu4
修行,siu1 hang2
佢應該,gi2 yin1 goi1
晚市,man1 si1
被譽為,pi4 yi4 vui2
講乜,gong3 mak5
反差,fan3 ca1
照射,zau4 sa4
打滾,da3 gun3
我只係,ngo1 zit5 he4
報平安,bau4 pin2 on1
無時無刻,vu2 si2 vu2 ket5
雙打,sung1 da3
得番,det5 fan1
好差,hau3 ca1
淡水,tam1 sui3
大車,tai4 ca1
但要,tan4 yau4
參演,cam1 yen1
虐打,ngiok5 da3
兩個都,liong1 go4 du1
蛇王,sa2 vong2
煞車,sat5 ca1
觀眾席,gon1 zung4 cit6
傾電話,kin1 tien4 va4
就當,ciu4 dong4
坐擁,co4 yung3
貴為,gui4 vui2
眼仔,ngan3 zai3
鮮奶,sien1 lai1
哽咽,gang3 yen1
做錯,zo4 co4
風車,fung1 ca1
可以打,ko3 yi1 da3
作畫,zok5 fa4
因為有,yin1 vui4 yiu1
囚禁,ciu2 gim4
變更,bien4 gang1
長袖,cong2 ciu4
王道,vong2 tau4
名正言順,min2 zin4 ngien2 sun4
並重,bin4 cung4
打印,da3 yin4
斷估,don4 gu3
傳訊,con2 sin4
樂迷,ngok6 mi2
打聽,da3 tin4
嚴禁,ngiam2 gim4
好重要,hau3 cung1 yau4
調校,tiau2 gau4
暴亂,pau4 lon4
名作,min2 zok5
厚度,heu4 tu4
鑽研,zon4 ngan3
仲諗,cung4 lem3
熟食,suk6 sit6
切斷,ciet5 ton1
好氣,hau3 hi4
壯觀,zong4 gon1
覺得我,gok5 det5 ngo1
相戀,siong1 lien4
平安鐘,pin2 on1 zung1
都冇用,du1 mau2 yung4
絕種,ciet6 zung3
中南海,zung1 lam2 hoi3
情婦,cin2 fu4
第二朝,ti4 ngi4 zau1
命案,min4 on4
車票,ca1 piau4
壞處,fai4 cu4
打擾,da3 yau3
烹調,pen1 tiau2
消極,siau1 kit6
我都覺得,ngo1 du1 gok5 det5
噴射,pun4 sa4
辯解,pien4 gai3
中計,zung4 ge4
怨婦,yen4 fu4
巴士司機,ba1 si3 su1 gi1
臉頰,liam3 giap5
解剖,gai3 peu3
靈異,lin2 yi4
變質,bien4 zit5
裝甲車,zong1 gap5 ca1
行到,hang2 dau4
係應該,he4 yin1 goi1
內定,lui4 tin4
單調,dan1 tiau4
行過,hang2 go4
鑑定,gam4 tin4
仇人,siu2 ngin2
都冇人,du1 mau2 ngin2
降級,gong4 kip5
有時間,yiu1 si2 gan4
過户,go4 fu4
要靠,yau4 kau4
安好,on1 hau3
無意中,vu2 yi4 zung1
我食,ngo1 sit6
吸食,kip5 sit6
糞便,bun4 pien4
身體力行,sin1 ti3 lit6 hang2
名次,min2 cu4
轉化,zon3 fa4
好鐘意,hau3 zung1 yi4
奉行,fung4 hang2
家當,ga1 dong4
人種,ngin2 zung3
咩係,me1 he4
捱打,ngai2 da3
重點係,cung1 diam3 he4
要諗,yau4 lem3
磨練,mo2 lien4
仲有咩,cung4 yiu1 me1
記錯,gi4 co4
毒素,tuk6 su4
兩個人,liong1 go4 ngin2
平板,pin2 ban3
和應,fo4 yin4
相傳,siong1 con2
成功爭取,sin2 gung1 zang1 ci3
工仔,gung1 zai3
用卡,yung4 ka1
思覺失調,su1 gok5 sit5 tiau2
所作所為,so3 zok5 so3 vui2
中國籍,zung1 get5 cit6
冇講,mau2 gong3
佢好似,gi2 hau3 su4
氣泡,hi4 pau1
詞彙,cu2 fui4
主要係,zu3 yau4 he4
強推,kiong3 tui1
舉重,gi3 cung1
講好,gong3 hau3
係好正,he4 hau3 zang4
一晚,yit5 man1
四散,si4 san4
成件事,sin2 kien4 su4
正牌,zin4 pai2
處所,cu4 so3
應該冇,yin1 goi1 mau2
為難,vui2 lan2
調控,tiau2 kung4
大條道理,tai4 tiau2 tau4 li1
兩人,liong1 ngin2
暴風,pau4 fung1
散落,san4 lok6
成本價,sin2 bun3 ga4
家庭主婦,ga1 tin2 zu3 fu4
瞭解,liau3 gai3
行人天橋,hang2 ngin2 tien1 kiau2
音量,yim1 liong4
相助,siong1 co4
耐冇,lai4 mau2
傾下,kin1 ha4
長春,cong2 cun1
拆散,cak5 san4
重任,cung4 ngim4
政要,zin4 yau4
量產,liong4 san3
有巴打,yiu1 ba1 da3
讀音,tuk6 yim1
生食,sang1 sit6
成語,sin2 ngi1
正常人,zin4 song2 ngin2
打過,da3 go4
兩樣,liong1 yong4
速成,suk5 sin2
我覺得佢,ngo1 gok5 det5 gi2
做得好,zo4 det5 hau3
成行,sin2 hang2
好飲,hau3 yim3
要害,yau4 hoi4
各行各業,gok5 hong2 gok5 ngiap6
校舍,gau3 sa4
音樂劇,yim1 ngok6 kiak6
重量級,cung1 liong4 kip5
正要,zin4 yau4
輕便,kiang1 pien4
要走,yau4 zeu3
首當其衝,siu3 dong1 ki2 cung1
斷裂,ton1 liet6
從頭,cung2 teu2
靈車,lin2 ca1
消防車,siau1 fong2 ca1
兩難,liong1 lan2
齊集,ce2 sip6
多少少,do1 sau3 sau3
漂白水,piau4 pak6 sui3
斷絕,ton1 ciet6
度數,tu4 su4
後補,heu4 bu3
貨櫃車,fo4 kui4 ca1
聽從,tang4 cung2
名堂,min2 tong2
好煩,hau3 fan2
好緊,hau3 gin3
要嘅,yau4 e4
傳波,con2 bo1
顛倒,dien1 dau3
二讀,ngi4 tuk6
長篇,cong2 pien1
強求,kiong3 kiu2
出處,cut5 cu4
媳婦,sit5 fu4
摩打,mo2 da3
至極,zi4 kit6
相就,siong1 ciu4
獨處,tuk6 cu4
少男,sau4 lam2
得勝,det5 sin4
好地地,hau3 ti4 ti4
衰仔,soi1 zai3
係正常,he4 zin4 song2
要幫,yau4 bong1
以為佢,yi1 vui2 gi2
供詞,giung1 cu2
核爆,het6 bau4
轉而,zon4 yi2
調解,tiau2 gai3
乞食,ket5 sit6
攞命,lo3 miang4
上文,song4 vun2
最強,zui4 kiong2
學車,hok6 ca1
户籍,fu4 cit6
白卡,pak6 kat6
行兇,hang2 hiung1
只係想,zit5 he4 siong3
正反,zin4 fan3
有朝一日,yiu1 zau1 yit5 ngit5
轉角,zon4 gok5
正直,zin4 cit6
晚裝,man1 zong1
鬼仔,gui3 zai3
貴金屬,gui4 gim1 suk6
矮仔,ai3 zai3
副學士,fu4 hok6 su4
上風,song4 fung1
食物中毒,sit6 vut6 zung4 tuk6
名副其實,min2 fu4 ki2 sit6
近似,kiun4 su4
油畫,yiu2 fa4
都好多,du1 hau3 do1
長工,cong2 gung1
禁煙,gim4 yen1
惡毒,ok5 tuk6
參照,cam1 zau4
上季,song4 gui4
乜都唔,mak5 du1 m1
聽覺,tin4 gok5
事成,su4 sin2
唔係要,m1 he4 yau4
出差,cut5 cai1
只須,zit5 si1
買少見少,mai1 sau3 gien4 sau3
冇癮,mau2 yin3
當係,dong4 he4
施暴,si1 pau4
轉捩點,zon3 liet6 diam3
得人驚,det5 ngin2 giang1
斷定,don4 tin4
文化中心,vun2 fa4 zung1 sim1
三次,sam1 cu4
頂替,din3 tai4
省市,sen3 si1
節食,ziet5 sit6
味覺,mui4 gok5
和音,fo4 yim1
覺得呢,gok5 det5 le1
推崇,tui1 cung2
真係好難,zin1 he4 hau3 lan2
驚死,giang1 si3
重力,cung1 lit6
度日,tu4 ngit5
供奉,giung1 fung4
航行,hong2 hang2
話劇,va4 kiak6
仲有好多,cung4 yiu1 hau3 do1
冇做,mau2 zo4
專為,zon1 vui2
觀戰,gon1 zien4
定型,tin4 hin2
勝訴,sin4 su4
我成日,ngo1 sin2 ngit5
兩張,liong1 zong1
打我,da3 ngo1
番去,fan1 hi4
善後,sen4 heu4
風褸,fung1 leu1
唱反調,cong4 fan3 tiau4
臉孔,liam3 kung3
通頂,tung1 dang3
差好遠,ca1 hau3 yen3
中轉,zung1 zon3
有兩個,yiu1 liong1 go4
訂定,dang4 tin4
好打,hau3 da3
我應該,ngo1 yin1 goi1
捲土重來,gien3 tu3 cung2 loi2
便衣警,pien4 yi1 gin3
明晚,min2 man1
解碼,gai3 ma1
好貴,hau3 gui4
武打,vu1 da3
旁觀者,pong2 gon1 za3
避震,pi4 zin3
應得,yin1 det5
就係要,ciu4 he4 yau4
順理成章,sun4 li1 sin2 zong1
昇華,sin1 fa2
影射,yang3 sa4
平心而論,pin2 sim1 yi2 lun4
疑為,ngi2 vui2
蠶食,cam2 sit6
好不容易,hau3 but5 yung2 yi4
獨食,tuk6 sit6
唔靚,m1 liang4
都好正,du1 hau3 zang4
要員,yau4 yen2
雀仔,ziok5 zai3
倒掛,dau4 ga4
好了,hau3 liau3
唔成,m1 sin2
冇出,mau2 cut5
唔好用,m1 hau3 yung4
三日,sam1 ngit5
抗命,kong4 min4
歸屬感,gui1 suk6 gam3
吃香,ket5 hiong1
全校,cien2 gau3
