char,waitau,hakka,notes
豫,yü6,yi4,
饇,yü6,yi4,
諭,yü6,yi4,
喻,yü6,yi4,
旭,yuk2,hiuk5,
勗,yuk2,hiuk5,
頊,yuk2,hiuk5,
沃,yuk2,vok5,
鋈,yuk2,vok5,
毓,yuk2,yuk5,
彧,yuk2,yuk5,
昱,yuk2,yuk5,
燠,yuk2,yuk5,
薁,yuk2,yuk5,
煜,yuk2,yuk5,
郁,yuk2,yuk5,
鬻,yuk6,zuk5,
肉,yuk6,ngiuk5,
玉,yuk6,ngiuk6,
獄,yuk6,ngiuk6,
鳿,yuk6,ngiuk6,
鈺,yuk6,ngiuk6,
軉,yuk6,ngiuk6,
淯,yuk6,yuk5,
儥,yuk6,yuk5,
育,yuk6,yuk5,
溽,yuk6,yuk6,
嗕,yuk6,yuk6,
慾,yuk6,yuk6,
欲,yuk6,yuk6,
峪,yuk6,yuk6,
辱,yuk6,yuk6,
蓐,yuk6,yuk6,
鋊,yuk6,yuk6,
褥,yuk6,yuk6,
縟,yuk6,yuk6,
鵒,yuk6,yuk6,
浴,yuk6,yuk5,
冤,yüng1,yen1,
惌,yüng1,yen1,
嫣,yüng1,yen1,
淵,yüng1,yen1,
肙,yüng1,yen1,
鼘,yüng1,yen1,
鴛,yüng1,yen1,
鵷,yüng1,yen1,
鳶,yüng1,yen1,
壖,yüng2,ngion1,
阮,yüng2,ngion3,
蜿,yüng2,van1,
琬,yüng2,van3,
惋,yüng2,van3,
婉,yüng2,von3,
涴,yüng2,von3,
兗,yüng2,yen3,
苑,yüng2,yen4,
夗,yüng1,yen3,
遠,yüng1,yen3,
紈,yüng4,fon2,
元,yüng4,ngien2,
懸,yüng4,hien2,
伭,yüng4,hien2,
玄,yüng4,hien2,
弦,yüng4,hien2,
絃,yüng4,hien2,
舷,yüng4,hien2,
蚿,yüng4,hien2,
眩,yüng4,hien4,
刓,yüng4,ngan2,
黿,yüng4,ngan2,
妧,yüng4,ngan4,
嫄,yüng4,ngien2,
沅,yüng4,ngien2,
騵,yüng4,ngien2,
羱,yüng4,ngien2,
芫,yüng4,ngien2,
蚖,yüng4,ngien2,
螈,yüng4,ngien2,
縓,yüng4,ngien2,
堧,yüng4,ngion2,
垸,yüng4,van2,
捖,yüng4,van2,
完,yüng4,van2,～全
完,yüng4,yen2,做～
猿,yüng4,yen2,
員,yüng4,yen2,
榬,yüng4,yen2,
櫞,yüng4,yen2,
沿,yüng4,yen2,
圓,yüng4,yen2,
掾,yüng4,yen2,
丸,yüng4,yen2,
筵,yüng4,yen2,
園,yüng4,yen2,
鉛,yüng4,yen2,
鈆,yüng4,yen2,
緣,yüng4,yen2,
蝝,yüng4,yen2,
芄,yüng4,yen2,
袁,yüng4,yen2,
轅,yüng4,yen2,
汍,yüng4,yen2,
溳,yüng4,yun2,
篔,yüng4,yun2,
鄖,yüng4,yun2,
原,yüng4,ngien2,
源,yüng4,ngien2,
鉉,yüng1,hien3,
鞙,yüng1,hien3,
瓀,yüng1,ngion3,
耎,yüng1,ngion3,
軟,yüng1,ngion1,
薳,yüng1,yen3,
怨,yüng1,yen4,
蝡,yüng1,ngion1,
袨,yüng6,hien4,
昡,yüng6,hien4,
炫,yüng6,hien4,
衒,yüng6,hien4,
縣,yüng6,yen4,
愿,yüng6,ngien4,
願,yüng6,ngien4,
院,yüng6,yen4,
嗡,yung1,vung1,
螉,yung1,vung1,
翁,yung1,vung1,
嗈,yung1,yung1,
澭,yung1,yung1,
戎,yung1,yung2,
噰,yung1,yung1,
廱,yung1,yung1,
癰,yung1,yung1,
灉,yung1,yung1,
邕,yung1,yung1,
雝,yung1,yung1,
雍,yung1,yung1,
饔,yung1,yung1,
踴,yung2,yung3,
臃,yung2,yung3,
甬,yung2,yung3,
涌,yung2,yung3,
恿,yung2,yung3,
勇,yung2,yung3,
湧,yung2,yung3,
冗,yung2,yung3,
埇,yung2,yung3,
俑,yung2,yung3,
擁,yung2,yung3,
踊,yung2,yung3,
蛹,yung2,yung3,
佣,yung2,yung3,
宂,yung2,yung3,
滃,yung1,vung3,
塕,yung1,vung3,
蓊,yung1,vung3,
壅,yung1,yung4,～塞
喁,yung4,yung2,～～私語
毧,yung4,yung2,
庸,yung4,yung2,
慵,yung4,yung2,
狨,yung4,yung2,
瑢,yung4,yung2,
傭,yung4,yung2,
傛,yung4,yung2,
瀜,yung4,yung2,
榕,yung4,yung2,
墉,yung4,yung2,
容,yung4,yung2,
溶,yung4,yung2,
鰫,yung4,yung2,
絨,yung4,yung2,
鎔,yung4,yung2,
鏞,yung4,yung2,
蓉,yung4,yung2,
茙,yung4,yung2,
融,yung4,yung2,
茸,yung4,yung2,
鄘,yung4,yung2,
肜,yung4,yung2,
駥,yung4,yung2,
顒,yung4,yung2,
熔,yung4,yung2,
軵,yung1,yung3,
氄,yung1,yung3,
用,yung6,yung4,
乙,yük2,yet5,
穴,yük6,hiet6,
泬,yük6,hiet6,
聿,yük6,lut6,
抈,yük6,ngiet6,
月,ngük6,ngiet6,
刖,ngük6,ngiet6,
說,yük6,yet6,（＝悅）
樾,yük6,yet6,
戉,yük6,yet6,
狘,yük6,yet6,
悅,yük6,yet6,
閱,yük6,yet6,
越,yük6,yet6,
鉞,yük6,yet6,
噊,yük6,yut6,
遹,yük6,yut6,
繘,yük6,yut6,
粵,yük6,yet6,
渣,za1,za1,
檛,za1,za1,
膼,za1,ko1,
喳,za1,za1,
咱,za1,za1,
柤,za1,za1,
挓,za1,za1,
皻,za1,za1,
齇,za1,za1,
髽,za1,za1,
蹅,za1,za1,
謯,za1,za1,
吒,za1,za1,哪～（人名）
偺,za1,za1,
炸,za1,za4,
溠,za1,za4,
厏,za1,za4,
咋,za1,za4,
吒,za1,za4,叱～
榨,za1,za4,
乍,za1,za4,
鮓,za1,za4,
苲,za1,za4,
醡,za1,za4,
詐,za1,za4,
蜡,za1,za4,
痄,za1,za4,
蚱,za1,zak5,
煠,za1,za4,（＝炸）
搾,za1,za4,
齋,zai1,zai1,
擠,zäi1,zi4,
齏,zäi1,zi1,
劑,zäi1,zi4,～量
劑,zäi1,ze4,一～藥
櫅,zäi1,zi4,
齎,zäi1,zu1,
崽,zäi2,zai3,
仔,zäi2,zai3,狗～
債,zai1,zai4,
瘵,zai1,zai4,
掣,zäi1,zi4,～肘
制,zäi1,zi4,
製,zäi1,ze4,
瘈,zäi1,ze4,
癠,zäi1,zi4,
祭,zäi1,zi4,
穧,zäi1,zi4,
懠,zäi1,zi4,
濟,zäi1,zi4,
泲,zäi1,zi4,
霽,zäi1,zi4,
際,zäi1,zi4,
穄,zäi1,zi4,
躋,zäi1,zi4,
砦,zai6,cai4,
寨,zai6,cai4,
眥,zai6,zu1,～裂
滯,zäi6,ce4,
嚌,zäi6,ci4,
昃,zäk2,zet5,
則,zäk2,zet5,
側,zäk2,zet5,
仄,zäk2,zet5,
崱,zäk2,zet5,
唶,zæk2,zak5,（笑聲）
窄,zæk2,zak5,
笮,zæk2,zak5,（壓榨、又姓）
舴,zæk2,zak5,
責,zæk2,zit5,
磧,zæk2,zak5,大石～死蟹
擲,zæk6,cit5,
躑,zæk6,cit5,
擇,zæk6,cak6,
摘,zæk6,zak5,
謫,zæk6,zak5,
蹢,zæk6,zak5,～躅（猶豫）
宅,zæk6,cak6,
澤,zäk6,cak6,
鸅,zäk6,cak6,
簪,zam1,zam1,
斟,zäm1,zim1,
箴,zäm1,zim1,
鱵,zäm1,zim1,
針,zäm1,zim1,
鍼,zäm1,zim1,
椹,zäm1,zem1,（＝砧）
鰔,zäm1,gam3,
砧,zäm1,zem1,
碪,zäm1,zem1,
喒,zam2,zam3,
斬,zam2,zam3,
塹,zam2,ciam4,
寁,zam2,zam3,
嶄,zam2,zam3,
枕,zäm2,zim3,
揝,zam1,zam4,
湛,zam1,zam3,精～
寖,zäm1,zim4,
浸,zäm1,zim4,
站,zam6,zam4,
暫,zam6,ciam4,
朕,zäm6,zim4,
栚,zäm6,cim4,
鴆,zäm6,cim4,
珍,zäng1,zin1,
禛,zäng1,zin1,
瞋,zäng1,zin1,
欑,zäng1,zon1,
巑,zäng1,zon1,
真,zäng1,zin1,
攢,zæng2,zon1,
儹,zæng2,zan3,
琖,zæng2,zan3,
盞,zæng2,zan3,
醆,zæng2,zan3,
趲,zæng2,zan3,
縝,zäng2,zin3,
鬒,zäng2,zin3,
囋,zæng1,zan4,
瓚,zæng1,zan4,
禶,zæng1,zan4,
灒,zæng1,zan4,
纘,zæng1,zan4,
贊,zæng1,zan4,
讚,zæng1,zan4,
酇,zæng1,zan4,
侲,zäng1,zin3,
振,zäng1,zin3,
鎮,zäng1,zin3,
震,zäng1,zin3,
賑,zäng1,zin3,
挋,zäng1,zin3,
圳,zäng1,zun4,
纂,zäng1,zon3,
鎮,zäng1,zin3,
僎,zæng6,con3,
譔,zæng6,con3,
撰,zæng6,con4,
綻,zæng6,can4,
棧,zæng6,can4,
虥,zæng6,can4,
輚,zæng6,can4,
賺,zæng6,can4,
轏,zæng6,can4,
饌,zæng6,con3,
陣,zäng6,cin4,
眹,zäng6,cin4,
爭,zæng1,zang1,～氣
睜,zäng1,zang1,
橧,zäng1,zen1,
僧,zäng1,sen1,
鬙,zäng1,sen1,
爭,zäng1,zang1,～執、戰～
矰,zäng1,zen1,
猙,zäng1,zen1,
增,zäng1,zen1,
箏,zäng1,zen1,
憎,zäng1,zen1,
怎,zäng1,zen1,
罾,zäng1,zen1,
繒,zäng1,zen1,
錚,zäng1,zen1,
崢,zäng1,zen1,
棦,zäng1,zang1,
噌,zäng1,zen1,泓～（空囂）
嶒,zäng1,zen1,
磳,zäng1,zen1,
綪,zäng1,zen1,（屈曲）
掙,zäng1,zang4,
曾,zäng1,zen1,（姓）
甑,zäng1,zen4,
贈,zäng6,zen4,
諍,zäng1,zen4,
縶,zäp2,zip5,
慹,zäp2,zip5,
執,zäp2,zip5,
汁,zäp2,zip5,
馽,zäp2,zip5,
濈,zäp2,cip5,
耴,zap2,zap5,
鉔,zap2,zap5,
唼,zap2,ciap5,
砸,zap2,zap5,
匝,zap2,zap5,
嘁,zap2,zap5,
咂,zap2,zap5,
劄,zap2,zap5,
閘,zap6,cap6,
潗,zap6,sip6,
槢,zap6,sip6,
習,zap6,sip6,
襲,zap6,sip6,
霫,zap6,sip6,
磼,zap6,cap6,
囃,zap6,cap6,
雜,zap6,cap6,
集,zap6,sip6,
質,zäk2,zit5,品～
鑕,zäk2,zit5,
札,zæk2,zat5,
紮,zæk2,zat5,
蚻,zæk2,zat5,
扎,zæk2,zat5,
拶,zæk2,zat5,
軋,zæk2,zet5,
姪,zäk6,cit6,
膣,zäk6,cit6,
郅,zäk6,zit5,
厔,zäk6,zit5,
秷,zäk6,cit6,
窒,zäk6,cit6,
桎,zäk6,zit5,
銍,zäk6,zit5,
蛭,zäk6,zit5,
螲,zäk6,zit5,
嫉,zäk6,cit6,
疾,zäk6,cit6,
蒺,zäk6,cit6,
嘲,zau1,zau1,
啁,zau1,zau1,
州,zäu1,ziu1,
侜,zäu1,ziu1,
周,zäu1,ziu1,
徟,zäu1,ziu1,
洲,zäu1,ziu1,
輈,zäu1,ziu1,
鵃,zäu1,ziu1,
週,zäu1,ziu1,
輖,zäu1,ziu1,
賙,zäu1,ziu1,
舟,zäu1,ziu1,
棸,zäu1,zeu1,
掫,zäu1,zeu1,
棷,zäu1,zeu1,
娵,zäu1,zeu1,
緅,zäu1,zeu1,
陬,zäu1,zeu1,
郰,zäu1,zeu1,
鯫,zäu1,zeu1,
鄒,zäu1,zeu1,
鄹,zäu1,zeu1,
騶,zäu1,zeu1,
謅,zäu1,ciu1,
諏,zäu1,zeu1,
菆,zäu1,zeu1,
湫,zäu1,ziu1,～水河
揪,zäu1,ziu1,
揫,zäu1,ziu1,
啾,zäu1,ziu1,
帚,zau2,ziu3,
爪,zau2,zau3,
找,zau2,zau3,
璅,zau2,zau3,
抓,zau2,zau3,
肘,zau2,ziu3,
走,zäu2,zeu3,
酒,zäu2,ziu3,
箌,zau1,zau4,
笊,zau1,gu1,
罩,zau1,zau4,
晝,zäu1,ziu4,
咒,zäu1,ziu4,
奏,zäu1,zeu4,
僽,zäu1,ziu4,
甃,zäu1,ziu4,
皺,zäu1,ziu4,
縐,zäu1,ziu4,
揍,zäu1,zeu4,
櫂,zau6,cau4,
驟,zäu6,ciu4,
紂,zäu6,ciu4,
籀,zäu6,ciu4,
宙,zäu6,ciu4,
岫,zäu6,ciu4,
就,zäu6,ciu4,
僦,zäu6,ciu4,
酎,zäu6,ciu4,
鷲,zäu6,ciu4,
袖,zäu6,ciu4,
冑,zäu6,ciu4,
繇,zäu6,yiu2,
胄,zäu6,ciu4,
遮,ze1,za1,
嗟,ze1,zia1,
罝,ze1,zia1,
者,ze2,za3,
赭,ze2,za3,
唶,ze2,zia3,（鳥鳴聲）
姐,ze2,zia3,
柘,ze1,za4,
蔗,ze1,za4,
鷓,ze1,za4,
這,ze1,za3,
借,ze1,zia4,
藉,ze1,zia4,～口
榭,ze6,cia4,
謝,ze6,cia4,
炙,zek2,zak5,
隻,zek2,zak5,
蹠,zek2,zak5,
跖,zek2,zak5,
瘠,zek2,zit5,
蹐,zek2,zit5,
脊,zek2,zit5,
塉,zek2,zit5,
摭,zek2,zak5,
蓆,zek6,ciak6,
井,zäng2,ziang3,
正,zäng1,zang4,（剛才、然後）
鄭,zäng6,cang4,
搘,zi1,zi1,
榰,zi1,zi1,
脂,zi1,zi1,
吱,zi1,zi1,
秪,zi1,zi1,
鳷,zi1,zi1,
梔,zi1,gi1,
支,zi1,zi1,
肢,zi1,zi1,
知,zi1,di1,（曉得）
蜘,zi1,di1,
祗,zi1,di3,
鄑,zi1,zi1,
齊,zi1,ci2,～盛
隮,zi1,zi1,
孳,zi1,zu1,
孜,zi1,zu1,
甾,zi1,zu1,（＝淄）
甾,zi1,zu1,（化學品名）
嵫,zi1,zu1,
姿,zi1,zu1,
粢,zi1,zu1,
咨,zi1,zu1,
滋,zi1,zu1,
淄,zi1,zu1,
孖,zi1,zu1,（＝孜）
緇,zi1,zu1,
諮,zi1,zu1,
鼒,zi1,zu1,
髭,zi1,zu1,
輜,zi1,zu1,
鯔,zi1,zu1,
資,zi1,zu1,
貲,zi1,zu1,
茲,zi1,zu1,
齜,zi1,zu1,
齍,zi1,zu1,
鎡,zi1,zu1,
趑,zi1,zu1,
錙,zi1,zu1,
菑,zi1,zu1,～川
恣,zi1,zu1,暴戾～雎
卮,zi6,gi1,
枝,zi1,gi1,一～花
枝,zi1,zi1,金～玉葉
知,zi1,zi1,～己
之,zi1,zu1,
芝,zi1,zi1,
止,zi2,zi3,
沚,zi2,zi3,
旨,zi2,zi3,
祉,zi2,zi3,
紙,zi2,zi3,
址,zi2,zi3,
咫,zi2,zi3,
疻,zi2,zi3,
指,zi2,zi3,
趾,zi2,zi3,
芷,zi2,zi3,
黹,zi2,zi3,
軹,zi2,zi3,
阯,zi2,zi3,
枳,zi2,zit5,
只,zi2,zit5,
祇,zi2,zit5,（＝只）
滓,zi2,zi3,
仔,zi2,zu3,～細
笫,zi2,zi3,
秭,zi2,zi3,
胏,zi2,zi3,
姊,zi2,zi3,
呰,zi2,zu3,
梓,zi2,zu3,
子,zi2,zu3,毫～、波～、獅～、例～
紫,zi2,zu3,
籽,zi2,zu3,
茈,zi2,zu3,
耔,zi2,zu3,
訾,zi2,zu3,
智,zi1,zi4,
懥,zi1,zi4,
痣,zi1,zi4,
觶,zi1,zi4,
跮,zi1,zi4,
緻,zi1,zi4,
鷙,zi1,zi4,
騺,zi1,zi4,
覟,zi1,zi4,
贄,zi1,zi4,
誌,zi1,zi4,
致,zi1,zi4,
鋕,zi1,zi4,
置,zi1,zi4,
至,zi1,zi4,
荎,zi1,zi4,
質,zi1,zi4,人～
疐,zi1,zi4,
躓,zi1,zi4,
胾,zi1,zu4,
恣,zi1,zu3,放～
剚,zi1,zu3,
倳,zi1,zu4,
胔,zi1,zu1,
志,zi1,zi4,
摯,zi1,zi4,
輊,zi1,zi4,
知,zi1,zi4,～識
豸,zi6,ci4,
治,zi6,ci4,
澨,zi6,ci4,
痔,zi6,ci4,
稚,zi6,ci4,
巳,zi6,su4,
祀,zi6,su4,
飼,zi6,ci4,（餵食）
飼,zi6,su4,～料
庤,zi6,si4,
食,zi6,ci4,（給人吃）
嗣,zi6,su4,
寺,zi6,su4,
耜,zi6,su4,
字,zi6,su4,
畤,zi6,su4,
汜,zi6,su4,
廌,zi6,sai3,
自,zi6,cu4,
眥,zi6,zu1,決～
戠,zäk2,zit5,
膱,zäk2,zit5,
職,zäk2,zit5,
陟,zäk2,zit5,
織,zäk2,zit5,
蹟,zäk2,ziak5,
跡,zäk2,zit5,
績,zäk2,zit5,
堲,zäk2,zit5,
簀,zäk2,zit5,
稷,zäk2,zit5,
嘖,zäk2,zit5,
漬,zäk2,zit5,
勣,zäk2,zit5,
楖,zäk2,zit5,
幘,zäk2,zit5,
鶺,zäk2,zit5,
賾,zäk2,zit5,
蝍,zäk2,zit5,
鯽,zäk2,zit5,
積,zäk2,zit5,
聻,zäk2,zit5,
磧,zäk2,zit5,石～州
畟,zäk2,zit5,
即,zik2,zit5,
湜,zäk6,cit6,
植,zäk6,cit6,
殖,zäk6,cit6,
直,zäk6,cit6,
褯,zäk6,cia4,
耤,zäk6,cit6,
籍,zäk6,cit6,
席,zäk6,cit6,
寂,zäk6,cit5,
藉,zäk6,cit6,狼～
值,zäk6,cit6,
矽,zäk6,cit6,
稙,zäk6,cit6,
惉,zim1,zam1,
瞻,zim1,zam1,
幨,zim1,zam1,
詹,zim1,zam1,
霑,zim1,zam1,
苫,zim1,zam1,
薝,zim1,zam1,
譫,zim1,zam1,
襜,zim1,zam1,
詀,zim1,zam1,
覘,zim1,zam1,
裧,zim1,zam1,
占,zim1,zam1,
粘,zim1,zam1,～米
沾,zim1,zam1,
臢,zim1,zam1,
尖,zim1,ziam1,
蘸,zim2,ziam3,
佔,zim1,zam4,
僭,zim1,ziam4,
譖,zim1,ziam4,
漸,zim6,ciam4,
槧,zim6,ciam4,
蹔,zim6,ciam4,
魙,zim6,ciam4,
旃,zing1,zien1,
栴,zing1,zien1,
鱣,zing1,zien1,
邅,zing1,zien1,
驙,zing1,zien1,
饘,zing1,zien1,
鸇,zing1,zien1,
顫,zing1,zien1,
煎,zing1,zien1,
膻,zing1,sien1,（羊臭）
牋,zing1,zien1,
湔,zing1,zien1,
箋,zing1,zien1,
戔,zing1,zien1,
鬋,zing1,zien3,
氈,zing1,zien1,
羶,zing1,zien1,
囅,zing2,zien3,
搌,zing2,zien3,
展,zing2,zien3,
輾,zing2,zien3,
闡,zing2,cien3,
剪,zing2,zien3,
譾,zing2,zien3,
翦,zing2,zien3,
揃,zing2,zien4,
皽,zing2,zien3,
戩,zing2,zien3,
顫,zing1,zien1,
戰,zing1,zien4,
樿,zing1,zien4,
墊,zing1,tiap6,～頭
榗,zing1,zien4,
洊,zing1,zien4,
箭,zing1,zien4,
牮,zing1,zien4,
荐,zing1,zien4,
餞,zing1,zien4,
薦,zing1,zien4,
栫,zing1,zien4,
賤,zing6,cien4,
楨,zäng1,zin1,
徵,zäng1,zin1,
征,zäng1,zin1,
癥,zäng1,zin1,
偵,zäng1,zin1,
湞,zäng1,zin1,
烝,zäng1,zin1,
姃,zäng1,zin1,
脀,zäng1,zin1,
蒸,zäng1,zin1,
貞,zäng1,zin1,
鉦,zäng1,zin1,
怔,zäng1,zin1,
正,zäng1,zang1,～月
晶,zäng1,zin1,
睛,zäng1,zin1,
箐,zäng1,zin1,
旌,zäng1,zin1,
精,zäng1,zin1,
鶄,zäng1,zin1,
菁,zäng1,zin1,
幀,zing1,zin1,
禎,zäng1,zin1,
晸,zäng2,zin3,
整,zäng2,zin3,
症,zäng1,zin4,
政,zäng1,zin4,
證,zäng1,zin4,
証,zäng1,zin4,
正,zäng1,zin4,～式
剩,zäng6,yin4,用～
婧,zäng6,ciang4,
淨,zäng6,ciang4,
凈,zäng6,ciang4,
靚,zäng6,ciang4,～衣
竫,zäng6,cin4,
靜,zäng6,cin4,
靘,zäng6,cin4,
靖,zäng6,cin4,
阱,zäng6,ziang3,
霅,zip2,zap5,
摺,zip2,zap5,
謺,zip2,zip5,
浹,zip2,hiap6,
囁,zip2,ngiap5,
褶,zip2,zap5,百～裙
倢,zip2,ciap6,
睫,zip2,ciap6,
箑,zip2,ciap6,
婕,zip2,ciap6,
啑,zip2,ciap6,
捷,zip2,ciap6,
接,zip2,ziap5,
椄,zip2,ziap5,
輒,zip2,ziap5,
唧,zik2,zit6,
浙,zik2,ziet5,
哳,zik2,ziet5,
折,zik2,ziet5,
哲,zik2,ziet5,
蜇,zik2,ziet5,
晢,zik2,ziet5,
癤,zik2,ziet5,
節,zik2,ziet5,
岊,zik2,ziet5,
櫛,zik2,zet5,
蟄,zik6,cit6,
穸,zik6,sip6,
汐,zik6,sip6,
夕,zik6,sit6,
截,zik6,ciet6,
招,ziu1,zau1,
朝,ziu1,zau1,今～
椒,ziu1,ziau1,
礁,ziu1,ziau1,
僬,ziu1,ziau2,
焦,ziu1,ziau1,
嶕,ziu1,ziau1,
蕉,ziu1,ziau1,
鐎,ziu1,ziau1,
膲,ziu1,ziau1,
譙,ziu1,ziau1,
鷦,ziu1,ziau1,
劁,ziu1,ziau1,
沼,ziu2,zau3,
湫,ziu2,ziu3,（低洼）
勦,ziu2,ziau3,
剿,ziu2,ziau3,
照,ziu1,zau4,
燋,ziu1,ziau4,
釂,ziu1,ziau4,
醮,ziu1,ziau4,
垗,ziu6,cau4,
趙,ziu6,cau4,
召,ziu6,cau4,
劭,ziu6,cau4,
嚼,ziu6,ciau4,～碎
脧,zö1,zoi1,（陰莖）
俎,zo2,zo3,
阻,zo2,zo3,
詛,zo1,zu3,
佐,zo1,zo3,
左,zo2,zo3,
坐,zo6,co4,～下
助,zo6,co4,
栽,zöi1,zai1,
災,zöi1,zai1,
哉,zöi1,zai1,
菑,zü1,zai1,（＝災）
椎,zöi1,zui1,脊～
隹,zöi1,zui1,
追,zöi1,zui1,
騅,zöi1,zui1,
錐,zöi1,zui1,
鵻,zöi1,zui1,
疽,zöi1,zu1,
狙,zöi1,zu1,
苴,zü1,zu1,
跙,zü1,zu1,
菹,zü1,zu1,
趄,zü1,zu1,
蛆,zü1,zu1,
沮,zü1,zu1,～誦
砠,zü1,zu1,
縡,zöi2,zai3,
載,zöi2,zai3,一年半～
宰,zöi2,zai3,
嘴,zöi2,zoi4,（口部）
嘴,zöi2,zui3,（末端）
咀,zöi2,zu3,
齟,zü2,zu3,
沮,zü2,zu3,～喪
岨,zü2,zu3,
惴,zöi2,zui3,
再,zöi1,zai4,
載,zöi1,zoi4,～客
綴,zöi1,dot5,
錣,zöi1,dot5,
檇,zöi1,zui4,
最,zöi1,zui4,
醉,zöi1,zui4,
在,zöi6,coi1,～家
在,zöi6,cai4,～意、存～
嶼,zü6,si4,島～
贅,zöi6,zui4,
墜,zöi6,cui4,
怚,zü6,zi1,
序,zü6,si4,
敘,zü6,si4,
漵,zü6,si4,
沀,zü6,si4,
聚,zü6,ci4,
罪,zöi6,cui4,
芧,zü6,si4,
作,zok2,zok5,
浞,zok2,zok5,
着,zök2,zok5,衣～
鵲,zök2,siak5,
嚼,zök2,ziok5,咀～
灂,zök2,ziok5,
皭,zök2,ziok5,
穱,zök2,ziok5,
爵,zök2,ziok5,
爝,zök2,ziok5,
雀,zök2,ziok5,
笮,zok6,cok6,（竹索）
擢,zok6,cok6,
鑿,zok6,cok6,
着,zök6,cok6,～手
盹,zäng1,zun1,
肫,zäng1,zun1,
諄,zäng1,zun1,
迍,zäng1,zun1,
啍,zäng1,zun1,（＝諄）
津,zäng1,zin1,
窀,zäng1,tun2,
蹲,zäng1,cun2,
溱,zäng1,zin1,
臻,zäng1,zin1,
蓁,zäng1,zin1,
嶟,zäng1,zun1,
墫,zäng1,zun1,
壿,zäng1,zun1,
樽,zäng1,zun1,
遵,zäng1,zun1,
逡,zäng1,zun1,
繜,zäng1,zun1,
鱒,zäng1,zun1,
准,zäng2,zun3,
準,zäng2,zun3,
埻,zäng2,zun3,
僔,zäng2,zun3,
撙,zäng2,zun3,
譐,zäng2,zun3,
稕,zäng1,zun4,
晙,zäng1,zun4,
脧,zäng1,zun4,（削減）
晉,zäng1,zin4,
搢,zäng1,zin4,
璡,zäng1,zin4,
縉,zäng1,zin4,
進,zäng1,zin4,
鐏,zäng1,zun1,
俊,zäng1,zun4,
焌,zäng1,zun4,
竣,zäng1,zun4,
浚,zäng1,zun4,
捘,zäng1,zun4,
峻,zäng1,zun4,
濬,zäng1,zun4,
畯,zäng1,zun4,
雋,zäng1,zun4,
臇,zäng1,zun4,
餕,zäng1,zun4,
駿,zäng1,zun4,
儘,zäng6,cin4,
濜,zäng6,cin4,
盡,zäng6,cin4,
燼,zäng6,zin4,
藎,zäng6,zin4,
贐,zäng6,zin4,
賮,zäng6,zin4,
髒,zong1,zong4,
庄,zong1,zong1,
妝,zong1,zong1,
牂,zong1,zong1,
裝,zong1,zong1,
莊,zong1,zong1,
贓,zong1,zong1,
臧,zong1,zong1,
奘,zong1,zong4,
嫜,zöng1,zong1,
墇,zöng1,zong1,
粻,zöng1,zong1,
章,zöng1,zong1,
慞,zöng1,zong1,
漳,zöng1,zong1,
璋,zöng1,zong1,
張,zöng1,zong1,
樟,zöng1,zong1,
傽,zöng1,zong1,
彰,zöng1,zong1,
鄣,zöng1,zong1,
漿,zöng1,ziong1,
螿,zöng1,ziong1,
將,zöng1,ziong1,
幛,zöng1,zong1,
獐,zöng1,ziong1,
蟑,zöng1,zong1,
駔,zong2,zu3,～儈
丈,zöng2,cong1,姨～
掌,zöng2,zong3,
仉,zöng2,zong3,
長,zöng2,zong3,校～
鞝,zöng2,zong3,
槳,zöng2,ziong3,
蔣,zöng2,ziong3,
獎,zöng2,ziong3,
戇,zong1,zong4,愚～
壯,zong1,zong4,
葬,zong1,zong4,
嶂,zöng1,zong4,
瞕,zöng1,zong4,
帳,zöng1,zong4,
瘴,zöng1,zong4,
漲,zöng1,zong4,
障,zöng1,zong4,
賬,zöng1,zong4,
脹,zöng1,zong4,
將,zöng1,ziong4,
醬,zöng1,ziong4,
悵,zöng1,zong4,
仗,zöng1,zong4,打～
幢,zong6,dung4,（量詞）
狀,zong6,cong4,
撞,zong6,cong4,
僮,zong6,cong4,～族（改成）
臟,zong6,cong4,
杖,zöng6,cong4,
丈,zöng6,cong4,～夫、～八金剛
仗,zöng6,cong4,～義
橡,zöng6,siong4,
匠,zöng6,siong4,
像,zöng6,ciong4,（相似）
像,zöng6,siong4,雕～、～素
象,zöng6,siong4,
怵,zäk2,zut5,
踤,zäk2,cut5,
椊,zäk2,zut5,
卒,zäk2,zut5,
啐,zäk2,zut5,
崒,zäk2,zut5,
倅,zäk2,cui4,（副的）
傮,zäu1,zau1,
糟,zäu1,zau1,
蹧,zäu1,zau1,
遭,zäu1,zau1,
慒,zäu1,cau2,
租,zu1,zu1,
早,zäu2,zau3,
棗,zäu2,zau3,
繰,zäu2,zau3,
蚤,zäu2,zau3,
藻,zäu2,zau3,
祖,zu2,zu3,
組,zu2,zu3,
灶,zäu1,zau4,
祚,zu6,cu4,
皂,zäu6,cau4,
做,zu6,zo4,
株,zü1,zu1,
朱,zü1,zu1,
櫧,zü1,zu1,
侏,zü1,zu1,
硃,zü1,zu1,
祩,zü1,zu1,
蝫,zü1,zu1,
豬,zü1,zu1,
諸,zü1,zu1,
蛛,zü1,du1,
邾,zü1,zu1,
誅,zü1,zu1,
袾,zü1,zu1,
蠩,zü1,zu1,
茱,zü1,zu1,
跦,zü1,zu1,
洙,zü1,zu1,
藷,zü1,zu1,
