char,canton,waitau,searchkey,hakka1,hakka2,Notes
拱,gung2,gung2,拱gung2,giung3,,
拲,gung2,gung2,拲gung2,giung3,,
拳,kün4,küng4,拳kün4,kien2,,
拴,cün4,cüng4,拴cün4,cien2,,
拶,zat3,zæk2,拶zat3,zat5,,
拷,hau1,hau1 ,拷hau1,kau3,,
拹,hip3,hip2,拹hip3,hiap6,,
拺,säk1,säk2,拺säk1,set5,,
拼,ping3,päng1,拼ping3,pin4,,
拼,ping3,päng1,拼ping3,pin4,,
拽,yäi6,yäi6,拽yäi6,yi3,,
拾,säp6,säp6,拾säp6,sip6,,
拿,na4,na4,拿na4,la1,,~來
拿,na4,na4,拿na4,la2,,捉~
持,ci4,ci4,持ci4,ci2,,
挂,gwa3,gwa1,挂gwa3,ga4,,
指,zi2,zi2,指zi2,zi3,,
挈,hit3,hik2,挈hit3,kiet5,,
按,on3,wung1,按on3,on4,,
挋,zän3,zäng1,挋zän3,zin3,,
挌,gak3,gæk2,挌gak3,gak5,,
挍,gau2,gau2,挍gau2,gau3,,
挏,tung4,tung4 ,挏tung4,tung2,,
挐,na4,na4,挐na4,la2,,
挑,tiu1,tiu1,挑tiu1,tiau1,,
挓,za1,za1,挓za1,za1,,
挖,wat3,wæk2,挖wat3,vat5,,
挨,ai1,ai1,挨ai1,ai1,,
挩,tüt3,tük2,挩tüt3,tot5,,
挪,no4,no4,挪no4,lo2,,
挫,co3,co1,挫co3,co4,,
挬,but6,buk6,挬but6,put6,,
挭,gäng2,gäng2,挭gäng2,gen3,,
振,zän3,zäng1,振zän3,zin3,,
挲,so1,so1,挲so1,so1,,
挶,guk6,guk6,挶guk6,kiuk6,,
挹,yäp1,yäp2,挹yäp1,yip5,,
挺,ting5,täng1,挺ting5,tin3,,
挼,no4,no4,挼no4,lo2,,
挽,wan5,wæng1,挽wan5,van3,,
挾,hip3,hip2,挾hip3,hiap6,,
捂,ng6,ng6,捂ng6,ngu4,,
捃,kwän2,kwäng2,捃kwän2,kiun3,,
捄,käu4,käu4,捄käu4,kiu2,,
捅,tung2,tung2,捅tung2,tung3,,
捆,kwän2,kwäng2,捆kwän2,kun3,,
捉,zuk1,zuk2,捉zuk1,zok5,,~棋
捉,zuk1,zuk2,捉zuk1,zuk5,,~蝴蝶
捋,lüt6,lük6,捋lüt6,lot6,,
捌,bat3,bæk2,捌bat3,bat5,,
捍,hon5,fung1,捍hon5,hon4,,
捎,sau1,sau1,捎sau1,sau1,,
捏,nip6,nip6,捏nip6,ngiap5,,
捐,gün1,güng1,捐gün1,gien1,,
捔,gok3,gok2,捔gok3,gok5,,
捕,bou6,bu6,捕bou6,pu4,,
捖,yün4,yüng4,捖yün4,van2,,
捘,zön3,zäng1,捘zön3,zun4,,
捥,wun2,wung2,捥wun2,von3,,
捧,bung2,bung2,捧bung2,bung3,,
捨,se2,se2,捨se2,sa3,,
捩,läi6,läi6,捩läi6,lui4,,~琵琶
捩,lit6,lik6,捩lit6,liet6,,轉~點
捫,mun4,mung4,捫mun4,mun2,,
捭,bai2,bai2,捭bai2,bai3,,
据,göi3,gü1,据göi3,gi4,,
捱,ngai4,ngai4,捱ngai4,ngai2,,
捲,gün2,güng2,捲gün2,gien3,,
捵,din2,ding2,捵din2,dien3,,
捶,cöi4,cöi4,捶cöi4,cui2,,
捷,zip3,zip2,捷zip3,ciap6,,
捺,nat6,næk6,捺nat6,lat6,,
捻,nim1,nim1,捻nim1,ngiam3,,
捼,no4,no4,捼no4,lo2,,
捽,cöt1,cäk2,捽cöt1,cut5,,
掀,hin1,hing1,掀hin1,hien1,,
掃,sou3,säu1,掃sou3,sau4,,
掄,lön4,läng4,掄lön4,lun2,,
掇,züt3,zük2,掇züt3,dot5,,
授,säu2,säu2,授säu2,siu3,,
授,säu6,säu2,授säu6,siu3,,
掉,diu6,diu6,掉diu6,tiau4,,
掊,päu2,päu2,掊päu2,piu3,,(打破)
掊,päu4,päu4,掊päu4,piu2,,~挖
掌,zöng2,zöng2,掌zöng2,zong3,,
掍,gwän2,gwäng2,掍gwän2,gun3,,
掎,yi2,yi2,掎yi2,yi3,,
掏,tou4,täu4,掏tou4,tau2,,
掐,hap3,hap2,掐hap3,kap5,,
排,pai4,pai4,排pai4,pai2,,
掔,hin1,hing1,掔hin1,ken1,,
掖,yik6,yäk6,掖yik6,yit6,,
掗,a1,a1,掗a1,a1,,
掘,gwät6,gwäk6,掘gwät6,kiut6,,
掙,zäng1,zäng1 ,掙zäng1,zang4,,
掛,gwa3,gwa1,掛gwa3,ga4,,
掝,wak6,wæk6,掝wak6,fet6,,
掞,sim3,sim1,掞sim3,yam4,,
掟,deng3,deng1,掟deng3,diang4,,
掠,lök6,lök6,掠lök6,liok6,,
採,coi2,cöi2,採coi2,cai3,,
探,tam3,tam1,探tam3,tam4,,
掣,cit3,cik2,掣cit3,cit5,,~後腳
掣,zäi3,zäi1,掣zäi3,zi4,,~肘
掤,bäng1,bäng1,掤bäng1,ben1,,
接,zip3,zip2,接zip3,ziap5,,
控,hung3,hung1,控hung3,kung4,,
推,töi1,töi1,推töi1,tui1,,
掩,yim2,yim2,掩yim2,yam3,,
措,cou3,cu1,措cou3,cu4,,
掫,zäu1,zäu1,掫zäu1,ziu1,,
掬,guk1,guk2,掬guk1,kiuk5,,
掭,tim5,tim1,掭tim5,tiam4,,
掽,pung3,pung1,掽pung3,pang4,,
掾,yün4,yüng4,掾yün4,yen2,,
揀,gan2,gæng2,揀gan2,gan3,,
揃,zin2,zing2,揃zin2,zien4,,
揄,yü4,yü4,揄yü4,yi2,,
揅,yin4,ying4,揅yin4,ngan1,,
揆,kwäi4,kwäi4,揆kwäi4,kui2,,
揇,nam2,nam2,揇nam2,lam3,,
揉,yäu4,yäu4,揉yäu4,ngiu2,,
揍,zäu3,zäu1,揍zäu3,ziu4,,
揎,sün1,süng1,揎sün1,sien1,,
描,miu4,miu4,描miu4,miau2,,
提,täi4,täi4,提täi4,ti2,,
插,cap3,cap2,插cap3,cap5,,
揖,yäp1,yäp2,揖yäp1,yip5,,
揗,cön4,cäng4,揗cön4,sun2,,
揚,yöng4,yöng4,揚yöng4,yong2,,
換,wun6,wung6,換wun6,von4,,
揜,yim5,yim1,揜yim5,yam3,,
揝,zam3,zam1,揝zam3,zam4,,
揠,at3,æk2,揠at3,yet5,,
握,ak1,æk2,握ak1,vok5,,
揣,cöi2,cöi2,揣cöi2,cui3,,
揥,däi3,däi1,揥däi3,di4,,
揩,hai1,hai1,揩hai1,kai1,,
揪,zäu1,zäu1,揪zäu1,ziu1,,
揫,zäu1,zäu1,揫zäu1,ziu1,,
揭,kit3,gik2,揭kit3,giet5,,
揮,fäi1,fäi1,揮fäi1,fui1,,
揰,zung6,zung6,揰zung6,cung4,,
揱,sok3,sok2,揱sok3,sok5,,
揲,dip6,dip6,揲dip6,tiap6,,~貫萬物
揲,sit6,sik6,揲sit6,siet6,,~法
揳,sit3,sik2,揳sit3,siet5,,
援,wun4,wung4,援wun4,yen1,,
揵,kin4,king4,揵kin4,kien2,,
揶,ye4,ye4,揶ye4,ya2,,
搆,gäu3,gäu1,搆gäu3,giu4,,
搉,kok3,kok2,搉kok3,kok5,,
搊,cäu1,cäu1,搊cäu1,ciu1,,
搌,zin2,zing2,搌zin2,zien3,,
損,sün2,süng2,損sün2,sun3,,
搎,sün1,süng1,搎sün1,sun1,,
搏,bok3,bok2,搏bok3,bok5,,
搐,cuk1,cuk2,搐cuk1,hiuk5,,
搒,bong2,bong2,搒bong2,bong3,,
搓,co1,co1 ,搓co1,cai1,,
搔,sou1,säu1,搔sou1,sau1,,
搕,häp6,häp6,搕häp6,hap6,,
搖,yiu4,yiu4,搖yiu4,yau2,,
搗,dou2,däu2,搗dou2,dau3,,
搘,zi1,zi1,搘zi1,zi1,,
搛,gim1,gim1,搛gim1,giam1,,
搜,säu2,säu2,搜säu2,siu1,,
搞,gau2,gau2,搞gau2,gau3,,
搠,sok3,sok2,搠sok3,sok5,,
搡,song2,song2,搡song2,song3,,
搢,zön3,zäng1,搢zön3,zin4,,
搣,mit6,mik6,搣mit6,met6,,
搤,ak1,æk2,搤ak1,ak5,,
搥,cöi4,cöi4,搥cöi4,cui2,,
搦,nik1,näk1,搦nik1,lit6,,
搧,sin3,sing1,搧sin3,sien4,,
搨,tap3,tap2,搨tap3,tap5,,
搪,tong4,tong4,搪tong4,tong2,,
搬,bun1,bung1,搬bun1,ban1,,
搭,dap3,dap2,搭dap3,dap5,,
搮,löt6,läk6,搮löt6,lit6,,
搯,tou1,täu1,搯tou1,tau1,,
搰,gwät1,gwäk2,搰gwät1,gut5,,
搴,hin1,hing1,搴hin1,ken1,,
搵,wän2,wäng2,搵wän2,vun3,,
搶,cöng2,cöng2,搶cöng2,ciong3,,
搷,tin4,ting4,搷tin4,tien2,,
搽,ca4,ca4,搽ca4,ca2,,
搾,za3,za1,搾za3,za4,,
摀,wu2,wu2,摀wu2,vu3,,
摋,sat3,sæk2,摋sat3,sat5,,
摎,käu1,käu1,摎käu1,giu1,,
摐,cung1,cung1,摐cung1,cung1,,
摑,gwak3,gwæk2,摑gwak3,get3,,
摒,bing3,bäng1,摒bing3,bin4,,
摓,fung4,fung4,摓fung4,fung2,,
摔,söt1,säk2,摔söt1,sut5,,
摘,zak6,zæk6,摘zak6,zak5,,
摙,lin6,ling6,摙lin6,lien4,,
摛,ci1,ci1,摛ci1,li2,,
摜,gwan3,gwæng1,摜gwan3,gon4,,
摝,luk1,luk2,摝luk1,luk5,,
摞,lo4,lo4,摞lo4,lo2,,
摟,läu1,läu1,摟läu1,liu1,,~錢
摟,läu4,läu4,摟läu4,liu2,,(牽引)
摟,läu5,läu1,摟läu5,liu3,,~抱
摠,zung2,zung2,摠zung2,zung3,,
摥,tong3,tong1,摥tong3,tong4,,
摧,cöi1,cöi1,摧cöi1,cui1,,
摩,mo1,mo1,摩mo1,mo2,,
摫,kwäi1,kwäi1,摫kwäi1,gui1,,
摭,zek3,zek2 ,摭zek3,zak5,,
摯,zi3,zi1,摯zi3,zi4,,
摲,cam1,cam1,摲cam1,cam1,,
摳,käu1,käu1,摳käu1,kiu1,,
摴,sü1,sü1,摴sü1,su1,,
摵,cik1,cäk2,摵cik1,cit5,,
摶,tün4,tüng4,摶tün4,ton2,,
摸,mo2,mo2,摸mo2,mo1,,
摹,mou4,mu4,摹mou4,mo2,,
摺,zip3,zip2,摺zip3,zap5,,
摻,cam1,cam1,摻cam1,cam1,,
摽,biu1,biu1,摽biu1,biau1,,~搒
摽,piu5,piu1,摽piu5,piau3,,(擊打)
撅,küt3,kük2 ,撅küt3,kiet5,,
撇,pit3,pik2,撇pit3,piet5,,
撈,lau4,läu4,撈lau4,liu2,,打~
撈,lou1,läu1,撈lou1,lau1,,(混合)
撉,dön1,däng1,撉dön1,dun1,,
撊,han4,hæng4,撊han4,han2,,
撋,no4,no4,撋no4,lo4,,
撏,cim4,cim4,撏cim4,cim2,,
撐,cang1,cæng1,撐cang1,cang1,,~腰
撐,cang3,cæng1,撐cang3,cang4,,死~
撑,cang1,cæng1,撑cang1,cang1,,
撒,sat3,sæk2,撒sat3,sat5,,彌~
撒,sat3,sæk2,撒sat3,sot5,,~石灰
撓,nau4,nau4,撓nau4,lau2,,
撕,si1,si1,撕si1,su1,,
撖,häm2,häm2,撖häm2,kam3,,
撙,zön2,zäng2,撙zön2,zun3,,
撚,nän2,näng2,撚nän2,ngien3,,
撞,zong6,zong6,撞zong6,cong4,,
撟,giu2,giu2,撟giu2,giau3,,
撢,tam4,tam4,撢tam4,tam2,,
撣,dan6,dæng6,撣dan6,tan4,,(拂塵)
撣,sin6,sing6,撣sin6,sien4,,~族
撤,cit3,cik2,撤cit3,ciet5,,
撥,but6,buk6,撥but6,pat5,,
撦,ce2,ce2,撦ce2,ca3,,
撩,liu4,liu4,撩liu4,liau2,,
撫,fu2,fu2,撫fu2,fu3,,
撬,giu6,giu6,撬giu6,kiau4,,
播,bo3,bo1,播bo3,bo4,,
撮,cüt3,cük2,撮cüt3,cot5,,
撰,zan6,zæng6,撰zan6,con4,,
撱,to5,to1,撱to5,to3,,
撲,pok3,pok2,撲pok3,pok5,,
撻,tat1,dæk2,撻tat1,dat5,,
撼,häm2,häm2,撼häm2,ham3,,
撽,gik1,gäk2,撽gik1,git5,,
撾,wo1,wo1,撾wo1,go1,,
撿,gim2,gim2,撿gim2,giam3,,
擁,yung2,yung2,擁yung2,yung3,,
擂,löi4,löi4,擂löi4,lui2,,
擃,nong6,nong6,擃nong6,long3,,
擄,lou5,lu1,擄lou5,lu3,,
擅,sin6,sing6,擅sin6,sien4,,
擇,zak6,zæk6,擇zak6,cak6,,
擉,cok3,cok2,擉cok3,cok5,,
擊,gik1,gäk2,擊gik1,git5,,
擋,dong2,dong2 ,擋dong2,dong3,,
操,cou1,cäu1,操cou1,cau1,,
擎,king4,käng4,擎king4,kiang2,,
擐,gwan3,gwæng1,擐gwan3,kan4,,
擒,käm4,käm4,擒käm4,kim2,,
擔,dam1,dam1,擔dam1,dam1,,負~
擔,dam3,dam1,擔dam3,dam4,,~竿
擖,got3,gwuk2,擖got3,got5,,
擗,pik1,päk2,擗pik1,piak5,,
擘,mak1,mæk2,擘mak1,mak5,,
擙,ou2,äu2,擙ou2,au3,,
據,göi3,gü1,據göi3,gi3,,
擠,zäi1,zäi1,擠zäi1,zi4,,
擢,zok6,zok6,擢zok6,cok6,,
擣,dou2,däu2,擣dou2,dau3,,
擤,säng3,säng1,擤säng3,sen4,,
擦,cat3,cæk2,擦cat3,cat5,,
擩,yü5,yü1,擩yü5,yi4,,
擬,yi5,yi1,擬yi5,ngi3,,
擰,ning4,näng4,擰ning4,len2,,
擱,gok3,gok2,擱gok3,gok5,,
擲,zak6,zæk6,擲zak6,cit5,,
擴,kwok3,kwok2,擴kwok3,kok5,,
擷,git3,gik2,擷git3,giet5,,
擸,lap6,lap6 ,擸lap6,lap6,,
擺,bai2,bai2,擺bai2,bai3,,
擻,säu2,säu2,擻säu2,siu3,,
擽,lik6,läk6,擽lik6,liok6,,
擾,yiu2,yiu2,擾yiu2,yau3,,
擿,tik1,täk2,擿tik1,tit5,,
攀,pan1,pæng1,攀pan1,pan1,,
攃,cat3,cæk2,攃cat3,cat5,,
攄,sü1,sü1,攄sü1,su1,,
攆,lin5,ling1,攆lin5,lien3,,
攎,lou4,lu4,攎lou4,lu2,,
攏,lung5,lung1,攏lung5,lung3,,
攐,hin1,hing1,攐hin1,ken1,,
攔,lan4,læng4,攔lan4,lan2,,
攖,ying1,yäng1,攖ying1,yin1,,
攘,yöng4,yöng4,攘yöng4,yong4,,
攙,cam1,cam1,攙cam1,cam1,,
攛,cün2,cüng2 ,攛cün2,con3,,
攜,kwäi4,kwäi4,攜kwäi4,hi1,,
攝,sip3,sip2,攝sip3,ngiap5,,
攢,cün4,cüng4,攢cün4,cien2,,
攢,zan2,zæng2,攢zan2,zon1,,
攣,lün4,lüng4,攣lün4,lien3,,
攤,tan1,tæng1,攤tan1,tan1,,
攩,dong2,dong2,攩dong2,dong3,,
攪,gau2,gau2,攪gau2,gau3,,
攫,fok3,fok2,攫fok3,kiok5,,
攬,lam2,lam2,攬lam2,lam3,,
攮,nong6,nong6,攮nong6,long3,,
支,zi1,zi1,支zi1,zi1,,
攲,kei4,ki4,攲kei4,ki2,,
攴,pok3,pok2,攴pok3,pok5,,
收,säu1,säu1,收säu1,siu1,,
攷,hau2,hau2,攷hau2,kau3,,
攸,yäu4,yäu4,攸yäu4,yiu2,,
改,goi2,gwui2,改goi2,goi3,,
攻,gung1,gung1,攻gung1,gung1,,
攽,bän1,bäng1,攽bän1,bin1,,
放,fong3,fong1,放fong3,fong4,,
政,zing3,zäng1,政zing3,zin4,,
敃,män5,mäng1,敃män5,men3,,
故,gwu3,gwu1,故gwu3,gu4,,
效,hau6,hau6,效hau6,hau4,,
敉,mei4,mi4,敉mei4,mi3,,
敏,män5,mäng1,敏män5,men3,,
救,gäu3,gäu1,救gäu3,giu4,,
敓,düt6,dük6,敓düt6,tot6,,
敔,yi5,yi1,敔yi5,ngi3,,
敕,cik1,cäk2,敕cik1,cit5,,
敖,ngou4,ngäu4,敖ngou4,ngau2,,
敗,bai6,bai6,敗bai6,pai4,,
敘,zöi6,zü6,敘zöi6,si4,,
教,gau3,gäu1,教gau3,gau1,,"~書, 難~"
教,gau3,gäu1,教gau3,gau4,,"~徒, 佛~"
敜,nip1,nip2,敜nip1,ngiap5,,
敝,bäi3,bäi1,敝bäi3,bi4,,
敞,cong2,cong2,敞cong2,cong3,,
敢,gäm2,gäm2,敢gäm2,gam3,,
散,san2,sæng2,散san2,san3,,藥~
散,san3,sæng1,散san3,san4,,~播
敦,dön1,däng1,敦dön1,dun1,,
敧,gei1,gi1,敧gei1,ki1,,
敬,ging3,gäng1,敬ging3,gin4,,
敲,hau1,hau1,敲hau1,kau1,,
敳,ngoi4,wui4,敳ngoi4,ngoi2,,
整,zing2,zäng2,整zing2,zin3,,
敵,dik6,däk6,敵dik6,tit6,,
敷,fu1,fu1,敷fu1,fu1,,
數,sou2,su2,數sou2,su4,,(動詞)
數,sou3,su1,數sou3,su4,,(名詞)
敹,liu4,liu4,敹liu4,liau2,,
敿,giu2,giu2,敿giu2,giau3,,
斁,dou3,du1,斁dou3,du4,,
斂,lim5,lim1,斂lim5,liam3,,
斃,bäi6,bäi6,斃bäi6,bi4,,
文,män4,mäng4,文män4,vun2,,
文,män2,mäng4,文män2,vun2,,
斌,bän1,bäng1,斌bän1,bin1,,
斐,fei2,fi2,斐fei2,fui3,,
斑,ban1,bæng1,斑ban1,ban1,,
斒,ban1,bæng1,斒ban1,ban1,,
斕,lan4,læng4,斕lan4,lan2,,
斗,däu2,däu2,斗däu2,diu3,,
料,liu6,liu6,料liu6,liau4,,
斛,huk6,huk6,斛huk6,fuk6,,
斜,ce4,ce4,斜ce4,sia2,,傾~
斜,ce4,ce4,斜ce4,cia2,,~布
斝,ga3,ga1,斝ga3,ga4,,
斞,yü5,yü1,斞yü5,yi3,,
斟,zäm1,zäm1,斟zäm1,zim1,,
斡,wat6,wæk6,斡wat6,vat5,,
斢,däu6,däu6,斢däu6,tiu4,,
斤,gän1,gäng1,斤gän1,gin1,,
斥,cik1,cäk2,斥cik1,cit5,,
斧,fu2,fu2,斧fu2,bu3,,
斨,cöng1,cöng1,斨cöng1,ciong1,,
斫,zök3,zök2,斫zök3,zok5,,
斬,zam2,zam2,斬zam2,zam3,,
斮,zök3,zök2,斮zök3,zok5,,
斯,si1,si1,斯si1,su1,,
新,sän1,säng1,新sän1,sin1,,
斷,dün3,düng1,斷dün3,don4,,判~
斷,dün6,düng6,斷dün6,ton4,,~章取義
斷,tün5,tüng1  ,斷tün5,ton1,,買~
斸,zuk1,zuk2,斸zuk1,zuk5,,
方,fong1,fong1,方fong1,fong1,,
於,yü1,yü1,於yü1,yi1,,
施,si1,si1,施si1,si1,,
斿,yäu4,yäu4,斿yäu4,yiu2,,
旁,pong4,pong4,旁pong4,pong2,,
旂,kei4,ki4,旂kei4,ki2,,
旃,zin1,zing1,旃zin1,zien1,,
旄,mou4,mäu4,旄mou4,mau2,,
旅,löi5,lü1,旅löi5,li3,,
旋,sün4,süng4,旋sün4,sien2,,
旌,zing1,zäng1,旌zing1,zin1,,
旎,nei5,ni1,旎nei5,li3,,
族,zuk6,zuk6,族zuk6,cuk6,,
旐,siu6,siu6,旐siu6,cau4,,
旒,läu4,läu4,旒läu4,liu2,,
旓,sau1,sau1,旓sau1,sau1,,
旖,yi2,yi2,旖yi2,yi3,,
旗,kei4,ki4,旗kei4,ki2,,
旛,fan1,fæng1,旛fan1,fan1,,
旝,kwui2,kwui2,旝kwui2,kai4,,
旟,yü4,yü4,旟yü4,yi2,,
旡,gei3,gi1,旡gei3,gi4,,
既,gei3,gi1,既gei3,gi4,,
日,yät6,yäk6,日yät6,ngit5,,
旦,dan3,dæng1,旦dan3,dan4,,
旨,zi2,zi2,旨zi2,zi3,,
早,zou2,zäu2,早zou2,zau3,,
旬,cön4,cäng4,旬cön4,sun2,,
旭,yuk1,yuk2,旭yuk1,hiuk5,,
旰,gon3,gwung1,旰gon3,gon4,,
旱,hon5,fung1,旱hon5,hon1,,
旺,wong6,wong6,旺wong6,vong4,,
旻,män5,mäng1,旻män5,men3,,
昂,ngong4,ngong4,昂ngong4,ngong2,,
昃,zäk1,zäk2,昃zäk1,zet5,,
昄,ban2,bæng2,昄ban2,ban3,,
昆,kwän1,kwäng1,昆kwän1,kun1,,
昇,sing1,säng1,昇sing1,sin1,,
昉,fong2,fong2,昉fong2,fong3,,
昊,hou6,häu6,昊hou6,hau4,,
昋,gwäi3,gwäi1,昋gwäi3,gui4,,
昌,cöng1,cöng1,昌cöng1,cong1,,
明,ming4,mäng4 ,明ming4,min2,,
昏,fän1,fäng1,昏fän1,fun1,,
昐,fän1,fäng1,昐fän1,fun1,,
易,yi6,yi6 ,易yi6,yi4,,容~
易,yik6,yäk6,易yik6,yit6,,交~
昔,sik1,säk2,昔sik1,sit6,,
昕,yän1,yäng1,昕yän1,hiun1,,
昜,yöng4,yöng4,昜yöng4,yong2,,
星,sing1,säng1,星sing1,sin1,,~球
星,sing1,säng1,星sing1,sang1,,零~
映,ying2,yäng2,映ying2,yang3,,~照
映,yöng2,yöng2,映yöng2,yong3,,掩~
昡,yün6,yüng6,昡yün6,hien4,,
昢,but6,buk6,昢but6,put6,,
春,cön1,cäng1,春cön1,cun1,,
昧,mui6,mui6,昧mui6,mui3,,
昨,zok6,zok6,昨zok6,zok5,,
昭,ciu1,ziu1,昭ciu1,zau1,,
是,si6,si6,是si6,si4,,
昱,yuk1,yuk2,昱yuk1,yuk5,,
昳,dit3,dik2,昳dit3,diet5,,
昴,mau5,mau1,昴mau5,mau1,,
昵,nik1,näk1,昵nik1,lit6,,
昶,cong2,cong2,昶cong2,cong3,,
昺,bing2,bäng2,昺bing2,biang3,,
時,si4,si4,時si4,si2,,
晃,fong2,fong2,晃fong2,fong3,,
晅,sün1,süng1,晅sün1,sien1,,
晉,zön3,zäng1,晉zön3,zin4,,
晌,höng2,höng2,晌höng2,song3,,
晏,an3,æng1,晏an3,an4,,
晙,zön3,zäng1,晙zön3,zun4,,
晚,man5,mæng1,晚man5,man1,,
晛,yin5,ying1,晛yin5,hien3,,
晝,zäu3,zäu1,晝zäu3,ziu4,,
晞,hei1,hi1,晞hei1,hi1,,
晟,sing4,säng4,晟sing4,sin2,,
晢,zit3,zik2,晢zit3,ziet5,,
晤,ng6,ng6,晤ng6,ngu4,,
晥,wun5,wung1,晥wun5,fan3,,
晦,fui3,fui1,晦fui3,fui4,,
晨,sän4,säng4,晨sän4,sin2,,
晬,zöi3,zöi1,晬zöi3,zui4,,
普,pou2,pu2,普pou2,pu1,,
景,ging2,gäng2,景ging2,gin3,,
晰,sik1,säk2,晰sik1,sit5,,
晴,cing4,cäng4,晴cing4,ciang2,,
晶,zing1,zäng1,晶zing1,zin1,,
晷,gwäi2,gwäi2,晷gwäi2,gui3,,
晸,zing2,zäng2,晸zing2,zin3,,
智,zi3,zi1,智zi3,zi4,,
晻,yim2,yim2,晻yim2,yam3,,
晼,wun2,wung2,晼wun2,von3,,
晾,long6,long6 ,晾long6,long4,,
暄,sün1,süng1,暄sün1,sien1,,
暆,yi4,yi4,暆yi4,yi2,,
暇,ha6,ha6,暇ha6,ha4,,
暈,wän4,wäng4,暈wän4,fun2,,~厥
暈,wän4,wäng4,暈wän4,vin2,,頭~
暈,wän6,wäng6,暈wän6,yun4,,日~
暉,fäi1,fäi1,暉fäi1,fui1,,
暌,kwäi4,kwäi4,暌kwäi4,kui2,,
暍,yit3,yik2,暍yit3,yet5,,
暐,wäi5,wäi1,暐wäi5,vui3,,
暑,sü2,sü2,暑sü2,cu3,,
暖,nün5,nüng1,暖nün5,lon1,,
暗,äm3,äm1,暗äm3,am4,,
暘,yöng4,yöng4,暘yöng4,yong2,,
暝,ming4,mäng4,暝ming4,men2,,晦~
暝,ming6,mäng6,暝ming6,men4,,(夜)
暠,hou1,häu1 ,暠hou1,hau1,,
暢,cöng3,cöng1,暢cöng3,cong4,,
暨,kei5,ki1,暨kei5,ki1,,
暫,zam6,zam6,暫zam6,ciam4,,
暮,mou6,mu6,暮mou6,mu4,,
暯,mok6,mok6,暯mok6,mok5,,
暱,nik1,näk1,暱nik1,lit6,,
暴,bou6,bäu6,暴bou6,pau4,,~力
暴,buk6,buk6,暴buk6,puk6,,一~十寒
暵,hon3,fung1,暵hon3,hon4,,
暸,liu4,liu4,暸liu4,liau2,,
暹,cim3,cim1,暹cim3,siam1,,
暾,dön1,däng1,暾dön1,dun1,,
曀,äi3,äi1,曀äi3,yi4,,
曄,yip6,yip6,曄yip6,yap6,,
曆,lik6,läk6,曆lik6,lak6,,
曇,tam4,tam4,曇tam4,tam2,,
曈,tung4,tung4,曈tung4,tung2,,
曉,hiu2,hiu2,曉hiu2,hiau3,,
曏,höng3,höng1,曏höng3,hiong4,,
曖,oi3,wui1,曖oi3,oi4,,
曙,cü5,cü1,曙cü5,su4,,
曚,mung4,mung4,曚mung4,mung2,,
曛,fän1,fäng1,曛fän1,hiun1,,
曜,yiu6,yiu6,曜yiu6,yau4,,
曝,buk6,buk6,曝buk6,puk6,,
曠,kwong3,kwong1,曠kwong3,kong4,,
曦,hei1,hi1,曦hei1,hi1,,
曨,lung4,lung4,曨lung4,lung2,,
曩,nong5,nong1,曩nong5,long3,,
曬,sai3,sai1,曬sai3,sai4,,
曭,dong2,dong2,曭dong2,dong3,,
曰,yök6,yök6,曰yök6,yet5,,
曲,kuk1,kuk2,曲kuk1,kiuk5,,
曳,yäi6,yäi6,曳yäi6,yi3,,
更,gang1,gæng1,更gang1,gang1,,三~
更,gäng1,gäng1,更gäng1,gang1,,~換
更,gäng3,gäng1,更gäng3,gen4,,~加
曷,hot3,fuk2,曷hot3,hot5,,
書,sü1,sü1,書sü1,su1,,
曹,cou4,cäu4,曹cou4,cau2,,
曼,man6,mæng6,曼man6,man4,,
曾,zäng1,zäng1 ,曾zäng1,zen1,,(姓)
曾,cäng4,cäng4,曾cäng4,cen2,,"~經, 未~"
替,täi3,täi1,替täi3,tai4,,
最,zöi3,zöi1,最zöi3,zui4,,
朁,cam2,cam2,朁cam2,cam3,,
會,wui3,wui1,會wui3,voi4,,~行~走
會,wui5,wui1,會wui5,voi4,,~行~走
會,wui6,wui6,會wui6,fui4,,~面
會,wui2,wui6,會wui2,fui4,,開~
朅,kit3,kik2,朅kit3,kiet5,,
月,yüt6,ngük6,月yüt6,ngiet6,,
有,yäu5,yäu1 ,有yäu5,yiu1,,
朋,päng4,päng4,朋päng4,pen2,,
服,fuk6,fuk6,服fuk6,fuk6,,
朏,fei2,fi2,朏fei2,fui3,,
朓,tiu3,tiu1,朓tiu3,tiau4,,
朔,sok3,sok2,朔sok3,sok5,,
朕,zäm6,zäm6,朕zäm6,zim4,,
朗,long5,long1,朗long5,long3,,
望,mong6,mong6,望mong6,mong4,,
朝,ciu4,ciu4 ,朝ciu4,cau2,,~廷
朝,ziu1,ziu1,朝ziu1,zau1,,今~
期,kei4,ki4,期kei4,ki2,,
朣,tung4,tung4,朣tung4,tung2,,
朦,mung4,mung4,朦mung4,mung2,,
朧,lung4,lung4,朧lung4,lung2,,
木,muk6,muk6,木muk6,muk5,,
未,mei6,mi6,未mei6,vui4,,
末,mut6,muk6,末mut6,mat6,,
本,bun2,bung2,本bun2,bun3,,
札,zat3,zæk2,札zat3,zat5,,
朮,söt6,säk6,朮söt6,sut6,,
朱,zü1,zü1,朱zü1,zu1,,
朳,bat3,bæk2,朳bat3,pat6,,(番石榴)
