char,canton,waitau,searchkey,hakka1,hakka2,Notes
仞,yän6,yäng6,仞yän6,ngiun4,,
仟,cin1,cing1,仟cin1,cien1,,
仡,ngät6,ngäk6,仡ngät6,ngiet5,,
代,doi6,döi6,代doi6,toi4,,
令,ling6,läng6,令ling6,lin4,,
以,yi5,yi1,以yi5,yi1,,
仰,yöng5,yöng1,仰yöng5,ngiong1,,
仲,zung6,zung6,仲zung6,cung4,,
仳,pei2,pi2,仳pei2,pi3,,
仵,ng5,ng1,仵ng5,ng3,,
件,gin6,ging6,件gin6,kien4,,
件,gin2,ging6,件gin2,kien4,,
价,gai3,gai1,价gai3,gai4,,
任,yäm6,yäm6,任yäm6,ngim4,,
份,fän6,fäng6 ,份fän6,fun4,,
仿,fong2,fong2,仿fong2,fong3,,
伀,zung1,zung1,伀zung1,zung1,,
企,kei5,ki1,企kei5,ki1,,
伄,diu3,diu1,伄diu3,diau4,,
伈,säm2,säm2,伈säm2,sim3,,
伉,hong3,hong1,伉hong3,kong4,,
伊,yi1,yi1,伊yi1,yi1,,
伋,käp1,käp2,伋käp1,kip5,,
伍,ng5,ng1,伍ng5,ng3,,
伎,gei6,gi6,伎gei6,ki3,,
伏,fuk6,fuk6,伏fuk6,fuk6,,
伐,fät6,fæk6,伐fät6,fat6,,
休,yäu1,yäu1,休yäu1,hiu1,,
伕,fu1,fu1,伕fu1,fu1,,
伙,fo2,fo2,伙fo2,fo3,,
伭,yün4,yüng4,伭yün4,hien2,,
伯,bak3,bæk2,伯bak3,bak5,,
估,gwu2,gwu2,估gwu2,gu3,,
伳,sit3,sik2,伳sit3,siet5,,
伴,bun6,bung6,伴bun6,pan4,,~隨
伴,pun5,pung1,伴pun5,pan1,,湊~
伶,ling4,läng4 ,伶ling4,lin2,,
伸,sän1,säng1,伸sän1,cun1,,~手
伸,sän1,säng1,伸sän1,sin1,,~張正義
伺,si6,si6,伺si6,su4,,
伻,ping4,päng4,伻ping4,pin2,,
似,ci5,ci1,似ci5,su4,,
伽,ga1,ga1,伽ga1,ga1,,
伾,bei1,bi1,伾bei1,pi1,,
佃,din6,ding6,佃din6,tien4,,
但,dan6,dæng6,但dan6,tan4,,
佇,dou2,du2,佇dou2,du3,,
佈,bou3,bu1,佈bou3,bu4,,
佌,ci2,ci2,佌ci2,cu3,,
位,wäi6,wäi6,位wäi6,vui4,,
位,wäi2,wäi6,位wäi2,vui4,,
低,däi1,däi1,低däi1,dai1,,
住,zü6,zü6,住zü6,cu4,,
佐,zo3,zo1,佐zo3,zo3,,
佑,yäu6,yäu6,佑yäu6,yiu4,,
体,täi2,täi2,体täi2,ti3,,
佔,zim3,zim1,佔zim3,zam4,,
何,ho4,ho4,何ho4,ho2,,
佖,bit1,bik2,佖bit1,bit5,,
佗,to4,to4,佗to4,to2,,
佘,se4,se4,佘se4,sa2,,
余,yü4,yü4,余yü4,yi2,,
佚,yät6,yäk6,佚yät6,yit6,,
佛,fät6,fäk6,佛fät6,fut6,,
作,zok3,zok2,作zok3,zok5,,
佝,käu3,käu1,佝käu3,kiu4,,
佞,ning6,näng6,佞ning6,lin4,,
佟,tung1,tung1,佟tung1,tung1,,
你,nei5,ni1,你nei5,li3,,
佢,köi5,kü1,佢köi5,gi2,,
佣,yung2,yung2,佣yung2,yung3,,
佩,pui3,pui1,佩pui3,pui4,,
佫,hok3,hok2,佫hok3,hok5,,
佬,lou2,läu2,佬lou2,lau3,,
佮,gäp3,gäp2,佮gäp3,kap5,,
佯,yöng4,yöng4,佯yöng4,yong2,,
佰,bak3,bæk2,佰bak3,bak5,,
佳,gai1,gai1,佳gai1,ga1,,
佴,yi6,yi6,佴yi6,ngi4,,
併,bing3,bäng1,併bing3,bin4,,
佶,gät1,gäk2,佶gät1,git5,,
佸,kwut3,kwuk2,佸kwut3,gat5,,
佹,gwäi2,gwäi2,佹gwäi2,gui3,,
佺,cün4,cüng4,佺cün4,cien2,,
佻,tiu1,tiu1,佻tiu1,tiau1,,
佼,gau2,gau2,佼gau2,gau3,,
佽,ci3,ci1,佽ci3,cu4,,
佾,yät6,yäk6,佾yät6,yit6,,
使,säi2,säi2,使säi2,su3,,唔~客氣
使,si2,si2,使si2,si3,,即~
使,si3,si1,使si3,si4,,大~館
侀,ying4,yäng4,侀ying4,hin2,,
侂,tok3,tok2,侂tok3,tok5,,
侃,hon2,fung2,侃hon2,kan3,,
侅,goi1,gwui1,侅goi1,goi1,,
來,loi4,löi4,來loi4,loi2,,
侇,yi4,yi4,侇yi4,yi2,,
侈,ci2,ci2,侈ci2,ci3,,
侉,kwa1,kwa1,侉kwa1,ka1,,
例,läi6,läi6,例läi6,li4,,
侍,si6,si6,侍si6,si4,,
侏,zü1,zü1,侏zü1,zu1,,
侐,gwik1,gwäk2,侐gwik1,hit5,,
侑,yäu6,yäu6,侑yäu6,yiu4,,
侔,mäu4,mäu4,侔mäu4,miu2,,
侕,yi4,yi4,侕yi4,yi2,,
侖,lön4,läng4,侖lön4,lun2,,
侗,tung4,tung4,侗tung4,tung2,,
