Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark
500_Hakka_1,500,蜘蛛,Spider,Hakka_1,蝲蜞,la11kʰia11,la2 kia2 ,OK,
501_Hakka_1,501,螞蟻,Ant,Hakka_1,蟻公,li13kuŋ13,li1 gung1 ,唔肯定, uncertain with pron.
501_Hakka_2,501,螞蟻,Ant,Hakka_2,蟻子,li13>35tsu31,li1 zu3 ,唔肯定, uncertain with pron.
502_Hakka_1,502,蚯蚓,Earthworm,Hakka_1,蟲蚿,tsʰuŋ11hiɛn31,cung2 hien3 ,OK,
503_Hakka_1,503,蜈蚣,Centipede,Hakka_1,蜈蚣蟲,ŋ11kuŋ13>35tsʰuŋ11,ng2 gung1 cung2 ,OK,
504_Hakka_1,504,蚰蜒(似蜈蚣，無毒),Housecentipede(non-poisonous),Hakka_1,硬殼蟲,ŋaŋ53>55hɔk31tsʰuŋ11,ngang4 hok5 cung2 ,OK,
505_Hakka_1,505,壁虎,Houselizard,Hakka_1,壁蛇,piak31sa11,biak5 sa2 ,OK,
506_Hakka_1,506,蒼蠅,Fly,Hakka_1,鳥蠅,vu13>35jin11,vu1 yin2 ,OK,
507_Hakka_1,507,牛虻(黃色，似蒼蠅),Gadbee,Hakka_1,牛鳥蠅,ȵiu11vu13>35jin11,ngiu2 vu1 yin2 ,OK,
508_Hakka_1,508,(蒼蠅)叮,(fly)Eating,Hakka_1,摟,lɛu13,leu1 ,OK,
509_Hakka_1,509,蚊子,Mosquito,Hakka_1,蚊,mun13,mun1 ,OK,
510_Hakka_1,510,蠓蟲,Midge,Hakka_1,齧仔,ŋat31tsai31,ngat5 zai3 ,OK,
511_Hakka_1,511,(蚊子)叮,(mosquito)Bite,Hakka_1,叼,tiau13,diau1 ,OK,
512_Hakka_1,512,臭蟲,Bedbug,Hakka_1,乾蜱,kɔn13pi13,gon1 bi1 ,OK,
513_Hakka_1,513,跳蚤,Flea,Hakka_1,狗虱,kɛu31sit31,geu3 sit5 ,OK,
514_Hakka_1,514,蝨子,Louse,Hakka_1,虱嫲,sit31ma11,sit5 ma2 ,OK,
515_Hakka_1,515,蟑螂,Cockroach,Hakka_1,黃曱,vɔŋ11tsʰat53,vong2 cat6 ,OK,
516_Hakka_1,516,蜻蜓,Dragonfly,Hakka_1,黃蜊,vɔŋ11li13,vong2 li1 ,OK,
517_Hakka_1,517,蟬,Cicada,Hakka_1,知焱,tsi13jam53,zi1 yam4 ,OK,
518_Hakka_1,518,蝴蝶,Butterfly,Hakka_1,蝴蝶,fu11tʰiap31,fu2 tiap5 ,OK,
519_Hakka_1,519,螳螂,Mantis,Hakka_1,豹虎哥,pau53>55fu31kɔ13,bau4 fu3 go1 ,OK,
520_Hakka_1,520,蚱蜢,Grasshopper,Hakka_1,蜢公,maŋ31kuŋ13,mang3 gung1 ,OK,
521_Hakka_1,521,螢火蟲,Firefly,Hakka_1,火焰蟲,fɔ31jam53tsʰuŋ11,fo3 yam4 cung2 ,OK,
522_Hakka_1,522,蜜蜂,Honeybee,Hakka_1,蜜仔,mit53tsai31,mit6 zai3 ,OK,
523_Hakka_1,523,黃蜂,Wasp,Hakka_1,禾蜂,vɔ11fuŋ13,vo2 fung1 ,OK,
524_Hakka_1,524,(蜂)窩,Beehive,Hakka_1,竇,tɛu53,deu4 ,OK,
525_Hakka_1,525,(蜂)蜇,Sting,Hakka_1,叼,tiau13,diau1 ,OK,
526_Hakka_1,526,蟋蟀,Cricket,Hakka_1,草織,tsʰau31kit31,cau3 git5 ,OK,
527_Hakka_1,527,蝌蚪,Tadpole,Hakka_1,鯰哥仔,ȵiam53kɔ13>35tsai31,ngiam4 go1 zai3 ,OK,
528_Hakka_1,528,青蛙(青皮田蛙),Frog,Hakka_1,蛤蟆,ha11ma11,ha2 ma2 ,OK,
529_Hakka_1,529,癩蛤蟆,Toad,Hakka_1,蟾蜍,kʰiɛm11su11,kiem2 su2 ,OK,
530_Hakka_1,530,蠶,Silkworm,Hakka_1,蠶蟲,tsʰam11tsʰuŋ11,cam2 cung2 ,OK,
531_Hakka_1,531,烏龜,Tortoise,Hakka_1,烏龜,vu13kui13,vu1 gui1 ,OK,
532_Hakka_1,532,鱉,Soft-shelledturtle,Hakka_1,腳魚,kiɔk31ŋ11,giok5 ng2 ,OK,
533_Hakka_1,533,蝦,Shrimp,Hakka_1,蝦公,ha11kuŋ13,ha2 gung1 ,OK,
534_Hakka_1,534,泥鰍,Loach,Hakka_1,湖鰍,fu11tsʰiu13,fu2 ciu1 ,OK,
