Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark
670_Hakka_1,670,痰盂,Spittoon,Hakka_1,痰筒,tʰam11tʰuŋ11,tam2 tung2 ,OK,
671_Hakka_1,671,打水桶,Bucketforgettingwaterfromwell,Hakka_1,吊桶,tiau53>55tʰuŋ31,diau4 tung3 ,OK,
672_Hakka_1,672,鈅匙,Key,Hakka_1,鎖匙,sɔ31si11,so3 si2 ,OK,
673_Hakka_1,673,鎖,Lock,Hakka_1,鎖頭,sɔ31tʰɛu11,so3 teu2 ,OK,
674_Hakka_1,674,蓑衣,Straw raincoat,Hakka_1,蓑衣,sɔ13ji13,so1 yi1 ,OK,
675_Hakka_1,675,斗笠,Bamboosplit hat,Hakka_1,笠嫲,lip31ma11,lip5 ma2 ,OK,
676_Hakka_1,676,扇子(統稱),Fan,Hakka_1,扇,siɛn53,sien4 ,OK,
677_Hakka_1,677,雨傘,Umbrella,Hakka_1,遮,tsa13,za1 ,OK,
678_Hakka_1,678,笤帚(小),"Broom(small,usually made of broom corn)",Hakka_1,掃杆,sau53>55kɔn31,sau4 gon3 ,OK,
679_Hakka_1,679,掃帚(大),"Broom(big,madeofbamboobranches)",Hakka_1,掃把,sau53>55pa31,sau4 ba3 ,OK,
680_Hakka_1,680,簸箕(簸穀用),Dustpan(togetridofblightedgrain),Hakka_1,簸箕,pɔi53ki13,boi4 gi1 ,OK,
681_Hakka_1,681,團箕(曬谷米用，較大),Dustpan(forgrainstodryunderthesun),Hakka_1,簸箕,pɔi53ki13,boi4 gi1 ,OK,
682_Hakka_1,682,竹竿,Bamboopole,Hakka_1,竹篙,tsuk31kau13,zuk5 gau1 ,OK,
683_Hakka_1,683,曬衣篙,Poleforpeggingtheclothestodry,Hakka_1,竹篙,tsuk31kau13,zuk5 gau1 ,OK,
684_Hakka_1,684,竹叉(架曬衣篙用),Bambooforktosupportthepole,Hakka_1,丫叉,a13tsʰa13,a1 ca1 ,OK,
685_Hakka_1,685,衣叉(叉取衣服用),Clothesrack,Hakka_1,丫叉仔,a13tsʰa13>35tsai31,a1 ca1 zai3 ,OK,
686_Hakka_1,686,拐杖,Crutch,Hakka_1,拐掍,kai31kun53,gai3 gun4 ,OK,
687_Hakka_1,687,笱(一種竹制捕魚器),A bamboo trap for fishing,Hakka_1,罍仔,lui31tsai31,lui3 zai3 ,OK,
688_Hakka_1,688,釣魚竿,Fish pole,Hakka_1,釣檳,tiau53pin13,diau4 bin1 ,OK,
689_Hakka_1,689,工具,Tool,Hakka_1,傢生,ka13saŋ13,ga1 sang1 ,OK,
690_Hakka_1,690,錘子,Hammer,Hakka_1,錘仔,tsʰui11tsai31,cui2 zai3 ,OK,
691_Hakka_1,691,錐子,"Bodkin,borer",Hakka_1,鉆仔,tsɔn53>55tsai31,zon4 zai3 ,OK,
692_Hakka_1,692,斧子,Axe,Hakka_1,斧頭,pu31tʰɛu11,bu3 teu2 ,OK,
693_Hakka_1,693,鉗子,Pincers,Hakka_1,鉗仔,kʰiam11tsai31,kiam2 zai3 ,OK,
694_Hakka_1,694,鑷子,Forceps,Hakka_1,鉗子,kʰiam11tsai31,kiam2 zai3 ,有問題, 子/仔 character =/= IPA & ROM
695_Hakka_1,695,鑿子,Chisel,Hakka_1,鑿仔,tsʰɔk53tsai31,cok6 zai3 ,OK,
696_Hakka_1,696,鋸,Saw,Hakka_1,鋸仔,ki53>55tsai31,gi4 zai3 ,OK,
697_Hakka_1,697,銼刀,Rasp,Hakka_1,銼刀,tsʰɔ53>55tʰau11,co4 tau2 ,OK,
698_Hakka_1,698,鉆(木匠鉆眼工具),Drill,Hakka_1,鉆仔,tsɔn53>55tsai31,zon4 zai3 ,OK,
699_Hakka_1,699,鉋子,Plane(atooltomakethewoodplain),Hakka_1,刨仔,pʰau11tsai31,pau2 zai3 ,OK,
700_Hakka_1,700,鉤子,Saw hook,Hakka_1,鉤仔,kɛu13>35tsai31,geu1 zai3 ,OK,
701_Hakka_1,701,釘子,Nail,Hakka_1,鐵釘,tʰiɛt31taŋ13,tiet5 dang1 ,OK,
702_Hakka_1,702,剪刀,Scissors,Hakka_1,剪刀,tsiɛn31tau13,zien3 dau1 ,OK,
703_Hakka_1,703,針,Needle,Hakka_1,針,tsim13,zim1 ,OK,
704_Hakka_1,704,頂針兒,Thimble,Hakka_1,頂指,tin31tsi31,din3 zi3 ,OK,
705_Hakka_1,705,線,Thread,Hakka_1,線,siɛn53,sien4 ,OK,
706_Hakka_1,706,縫紉機,Sewingmachine,Hakka_1,衣車,ji13tsʰa13,yi1 ca1 ,OK,
707_Hakka_1,707,(器物)底部,Bottom,Hakka_1,叾,tuk31,duk5 ,OK,
708_Hakka_1,708,(器物)邊緣,Brim,Hakka_1,邊唇,piɛn13>35sun11,bien1 sun2 ,OK,
709_Hakka_1,709,(器物)裂縫兒,Crack,Hakka_1,坼,tsʰak31,cak5 ,OK,
710_Hakka_1,710,痕跡(器皿上的印跡),Mark,Hakka_1,影,jaŋ53,yang4 ,OK,
711_Hakka_1,711,(傢具)開裂,Split,Hakka_1,開坼,hɔi13>35tsʰak31,hoi1 cak5 ,OK,
